"<strong>Attention</strong>: Captcha is case sensitive.","<strong>Chú ý</strong>: Captcha là trường hợp nhạy cảm."
"After number of attempts to login","Sau nhiều lần cố gắng đăng nhập"
"Always","Luôn luôn"
"CAPTCHA","CAPTCHA"
"CAPTCHA Timeout (minutes)","Hết thời gian chờ CAPTCHA (phút)"
"CAPTCHA for ""Create user"" and ""Forgot password"" forms is always enabled if chosen","CAPTCHA cho biểu mẫu ""Thiết lập người dùng"" và ""Quên mật khẩu"" sẽ luôn được kích hoạt nếu lựa chọn"
"Case Sensitive","Trường hợp nhạy cảm"
"Displaying Mode","Chế độ hiển thị"
"Enable CAPTCHA in Admin","Kích hoạt CAPTCHA trong mục Quản lý"
"Enable CAPTCHA on Frontend","Kích hoạt CAPTCHA trong Frontend"
"Font","Phông chữ"
"Forms","Biểu mẫu"
"If 0 is specified, CAPTCHA on the Login form will be always available.","Nếu 0 được xác định, CAPTCHA trên biểu mẫu đăng nhập sẽ luôn có sẵn."
"Incorrect CAPTCHA.","CAPTCHA sai."
"Number of Symbols","Số ký tự"
"Number of Unsuccessful Attempts to Login","Số lần không đăng nhập thành công"
"Please specify 8 symbols at the most. Range allowed (e.g. 3-5)","Hãy xác định 8 ký tự xuất hiện nhiều nhất. Cho phép giới hạn (e.g. 3-5)"
"Please type the letters below","Xin vui lòng nhập các ký tự bên dưới"
"Please type the letters from the image:","Xin vui lòng nhập các ký tự từ hình ảnh:"
"Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.<br />Similar looking characters (e.g. ""i"", ""l"", ""1"") decrease chance of correct recognition by customer.","Vui lòng chỉ sử dụng chữ cái (a-z hoặc A-Z) hay số (0-9) trong mục này. Không cho phép khoảng trống hay các ký tự khác.<br />Các ký tự tương tự (e.g. ""i"", ""l"", ""1"") sẽ làm giảm khả năng nhận biết chính xác của khách hàng."
"Reload captcha","Load lại captcha"
"Symbols Used in CAPTCHA","Ký tự sử dụng trong CAPTCHA"
