"Actions","Hoạt động"
"Add Answer","Thêm câu trả lời"
"Add New Answer","Thêm câu trả lời mới"
"Add New Poll","Thêm bình chọn mới"
"Answer Title","Tiêu đề câu trả lời"
"Answer Title:","Tiêu đề câu trả lời:"
"Answer with the same title in this poll","Trả lời cùng tiêu đề trong bình chọn này"
"Are you sure you want to delete it?","Bạn có chắc là muốn xóa nó?"
"Assigned Answers","Các trả lời đã gán"
"Closed","Đã đóng"
"Community Poll","Cộng đồng bình chọn"
"Date Closed","Ngày đóng"
"Date Posted","Ngày đăng"
"Delete","Xóa"
"Delete Answer","Xóa câu trả lời"
"Delete Poll","Xóa bình chọn"
"Disallow Voting in a Poll Multiple Times from Same IP-address","Không cho phép bầu chọn nhiều lần trong một bình chọn từ cùng địa chỉ IP"
"Edit Answer '%s'","Sửa câu trả lời '%s'"
"Edit Poll '%s'","Sửa bình chọn '%s'"
"Edit Poll Answer","Sửa câu trả lời bình chọn"
"ID","ID"
"Invalid Answer.","Trả lời không đúng."
"New Poll","Bình chọn mới"
"Number of Responses","Số phản hồi"
"Open","Mở"
"Poll Answers","Các trả lời bình chọn"
"Poll Information","Thông tin bình chọn"
"Poll Manager","Quản lý bình chọn"
"Poll Question","Câu hỏi bình chọn"
"Poll information","Thông tin bình chọn"
"Poll with the same question","Bình chọn với cùng câu hỏi"
"Polls","Các bình chọn"
"Save Answer","Lưu câu trả lời"
"Save Poll","Lưu bình chọn"
"Status","Tình trạng"
"The answer has been saved.","Câu trả lời đã được lưu."
"The poll does not exist.","Bình chọn không tồn tại."
"Unable to find an answer to delete.","Không thể tìm thấy câu trả lời để xóa."
"Visible In","Hiển thị trong"
"Vote","Bầu chọn"
"Votes Count","Đếm số phiếu bầu"
"Votes Count:","Đếm số phiếu bầu:"
