"* Select shipping method","* Chọn phương pháp vận chuyển "
"2Day","2Ngày"
"2nd Day Air","Ngày thứ 2"
"2nd Day Air AM","Ngày thứ 2 buổi sáng"
"3 Day Select","Chọn 3 ngày"
"<br />Warning: <strong>%s</strong><br />","<br />Cảnh báo: <strong>%s</strong><br />"
"<strong style=""color:red"">Warning!</strong> This option disables the merchant calculated shipping. With this option, Google API ignores any attempt to affect shipping prices.","<strong style=""color:red"">Cảnh báo!</strong> Tùy chọn này sẽ vô hiệu hóa các tính toán chi phí vận chuyển. Với tùy chọn này, Google API bỏ qua bát kỳ nỗ lực nào làm ảnh hưởng đến giá vận chuyển."
"A virtual item to reflect the discount total","Một sản phẩm ảo để phản ánh tổng số chiết khấu"
"A virtual item to reflect the tax total","Một sản phẩm ảo để phản ánh tổng thuế"
"AVS Status: %s","Tình trạng AVS: %s"
"Add Shipping Method","Thêm phương pháp vận chuyển"
"Allowed Methods","Phương pháp được phép"
"Amount: %s","Số tiền: %s"
"Auto-generated from GoogleCheckout Charge","Tự động tạo ra từ phí thanh toán Google"
"Buyer Account Age: %s days","Thời gian tài khoản người mua: %s ngày"
"CC Partial: xxxx-%s","Phần CC: xxxx-%s"
"CID Status: %s","Tình trạng CID: %s"
"Carrier Calculated Methods","Phương pháp tính toán vận chuyển"
"Cart Discount","Giảm giá giỏ hàng"
"Checkout Image Style","Kiểu hình ảnh thanh toán"
"Commercial","Quảng cáo"
"Continue Shopping URL","Tiếp tục URL mua sắm"
"Credit memo has been created automatically","Hoàn tiền đã được tạo tự động"
"Debug","Sửa lỗi"
"Default Package Height (in)","Chiều cao mặc định của gói (in)"
"Default Package Length (in)","Chiều dài mặc định của gói (in)"
"Default Package Width (in)","Chiều rộng mặc định của gói (in)"
"Default Price for Methods","Giá mặc định cho phương pháp"
"Default price:","Giá mặc định:"
"Delivery Address Category","Danh mục địa chỉ giao hàng"
"Delivery Schedule","Lịch trình giao hàng"
"Description-based delivery","Mô tả giao hàng"
"Disable Default Tax Tables","Vô hiệu hóa bảng thuế mặc định"
"Discount Tax","Chiết khấu thuế"
"Eligible for Protection: %s","Điều kiện để bảo vệ: %s"
"Email delivery","Gửi email"
"Enable","Kích hoạt"
"Enable Carrier Calculated","Kích hoạt tính toán vận chuyển"
"Enable Digital Delivery","Kích hoạt giao hàng điện tử"
"Enable Flat Rate","Kích hoạt tỷ lệ phẳng"
"Enable Merchant Calculated","Kích hoạt tính chi phí"
"Enable this if your checkout request is too big and being cut off.","Kích hoạt tính năng này nếu yêu cầu thanh toán của bạn là quá lớn và bị đứt quãng."
"Expiration: %s","Hạn cuối: %s"
"Express Mail","Chuyển phát nhanh"
"Express Saver","Chuyển phát tiết kiệm"
"FedEx","FedEx"
"Financial: %s -> %s","Tài chính: %s -> %s"
"First Overnight","Qua đêm đầu tiên"
"Free Shipping","Giao hàng miễn phí"
"Fulfillment: %s -> %s","Hoàn thành: %s -> %s"
"Google API","Google API"
"Google Authorization:","Ủy quyền Google:"
"Google Buyer ID: %s","ID người mua Google: %s"
"Google Charge:","Cước phí Google:"
"Google Chargeback:","Google bồi hoàn:"
"Google Checkout","Thanh toán"
"Google Checkout Shipping - Carrier Calculated","Vận chuyển của thanh toán Google - Tính toán phí chuyên chở"
"Google Checkout Shipping - Digital Delivery","Vận chuyển của thanh toán Google - Vận chuyển điện tử"
"Google Checkout Shipping - Flat Rate","Vận chuyển của thanh toán Google - Tỷ lệ phẳng"
"Google Checkout Shipping - Merchant Calculated","Vận chuyển của thanh toán Google - Tính toán phí mua sắm"
"Google Checkout: %s","Thanh toán Google: %s"
"Google Order Number: %s","Số đơn hàng Google: %s"
"Google Order Status Change:","Thay đổi tình trạng đơn hàng Google:"
"Google Refund:","Google hoàn lại phí:"
"Google Risk Information:","Thông tin rủi ro từ Google:"
"GoogleCheckout is not configured","Thanh toán Google không được thiết lập"
"Ground","Mặt bằng"
"Hide Cart Contents","Ẩn nội dung giỏ hàng"
"Home Delivery","Giao hàng tận nhà"
"IP Address: %s","Địa chỉ IP: %s"
"If enabled, cart contents will be hidden after clicking on the Google Checkout button in the shopping cart, and restored if ""Edit Cart"" link was activated.","Nếu được kích hoạt, nội dung giỏ hàng sẽ được ẩn sau khi nhấp vào nút Google Checkout trong giỏ hàng mua sắm, và khôi phục nếu liên kết "" Sửa giỏ hàng "" được kích hoạt."
"Inches","Inches"
"Invoice Auto-Created: %s","Tạo hóa đơn tự động: %s"
"Is Buyer Willing to Receive Marketing Emails: %s","Người mua có sẵn sàng nhận email tiếp thị: %s"
"Key/URL delivery","Khóa/URL giao hàng"
"Large - %s","Lớn - %s"
"Latest Charge: %s","Phí gần đây nhất: %s"
"Latest Chargeback: %s","Bồi hoàn gần đây nhất: %s"
"Latest Refund: %s","Hoàn trả gần nhất: %s"
"Location","Địa điểm"
"Media Mail","Thư truyền thông"
"Medium - %s","Trung bình - %s"
"Merchant ID","ID người bán"
"Merchant Key","Khóa người bán"
"Method","Phương pháp"
"New Order Status","Tình trạng đơn hàng mới"
"Next Day Air","Ngày tiếp theo"
"Next Day Air Early AM","Sáng sớm ngày tiếp theo"
"Next Day Air Saver","Giữ hàng vào ngày tiếp theo"
"No","Không"
"No Comment","Không bình luận"
"No Reason","Không lý do"
"Optimistic","Lạc quan"
"Optional, leave empty for home page.","Tùy chọn, để trống cho trang chủ."
"Order creation error","Tạo đơn hàng bị lỗi"
"Parcel Post","Dịch vụ bưu điện"
"Pessimistic","Bi quan"
"Priority Mail","Thư ưu tiên"
"Priority Overnight","Ưu tiên qua đêm"
"Rate 1 Amount","Tổng số của tỷ lệ 1"
"Rate 1 Ship To Applicable Countries","Tỷ lệ 1 được chuyển đến quốc gia khả dụng"
"Rate 1 Ship to Specific Countries","Tỷ lệ 1 được chuyển đến quốc gia đã cụ thể"
"Rate 1 Title","Tiêu đề tỷ lệ 1"
"Rate 2 Amount","Tổng số của tỷ lệ 2"
"Rate 2 Ship To Applicable Countries","Tỷ lệ 2 được chuyển đến quốc gia khả dụng"
"Rate 2 Ship to Specific Countries","Tỷ lệ 2 được chuyển đến quốc gia đã cụ thể"
"Rate 2 Title","Tiêu đề tỷ lệ 2"
"Rate 3 Amount","Tổng số của tỷ lệ 3"
"Rate 3 Ship To Applicable Countries","Tỷ lệ 3 được chuyển đến quốc gia khả dụng"
"Rate 3 Ship to Specific Countries","Tỷ lệ 3 được chuyển đến quốc gia đã cụ thể"
"Rate 3 Title","Tiêu đề tỷ lệ 3"
"Required for live Google Checkout transactions. Make sure that this option corresponds to Use Secure URLs in Frontend (""Web"" > ""Secure"").","Yêu cầu cho giao dịch trực tiếp với GoogleCheckout. Hãy đảm bảo rằng tùy chọn này tương thích với URL bảo mật sử dụng ở giao diện người dùng (""Web"" > ""Secure"")."
"Residential","Khu đân cư"
"Sandbox","Mô phỏng"
"Secure Callback URL","URL gọi lại bảo mật"
"Small - %s","Nhỏ - %s"
"Standard Overnight","Qua đêm tiêu chuẩn"
"The tax amount has been applied based on the information received from Google Checkout, because tax amount received from Google Checkout is different from the calculated tax amount","Số thuế đã được áp dụng dựa trên các thông tin nhận được từ Google Checkout, vì số tiền thuế thu được từ Google Checkout là khác với số thuế đã tính"
"Title","Tiêu đề"
"Total Chargeback: %s","Tổng số tiền bồi hoàn: %s"
"Total Charged: %s","Tổng phí: %s"
"Total Refunded: %s","Tổng số tiền đã hoàn trả: %s"
"Transparent","Trong suốt"
"UPS","UPS"
"USPS","USPS"
"United Kingdom","Vương quốc Anh"
"United States","Hoa Kỳ"
"Unknown Reason","Không rõ lý do"
"White Background","Nền trắng"
"Yes","Có"
