"ALL","TẤT CẢ"
"ANY","BẤT KỲ"
"Add","Thêm"
"Apply","Áp dụng"
"Conditions Combination","Kết hợp các điều kiện"
"Customer Groups must be specified.","Nhóm khách hàng phải được xác định."
"End Date must be greater than Start Date.","Ngày kết thúc phải lớn hơn ngày bắt đầu."
"FALSE","SAI"
"If %s of these conditions are %s:","Nếu %s của những điều kiện này là %s:"
"Invalid discount amount.","Số giảm giá không đúng."
"Open Chooser","Mở lựa chọn"
"Perform following actions","Thực hiện các hành động dưới đây"
"Please choose a condition to add...","Vui lòng chọn một điều kiện để thêm vào..."
"Please choose an action to add...","Vui lòng chọn một thao tác để thêm vào..."
"Remove","Xóa"
"TRUE","ĐÚNG"
"There is no information about associated entity type ""%s"".","Không có thông tin về loại thực thể liên quan ""%s""."
"Websites must be specified.","Websites phải được xác định."
"by","bằng"
"contains","chứa"
"does not contain","không chứa"
"equals or greater than","bằng hoặc lớn hơn"
"equals or less than","bằng hoặc ít hơn"
"greater than","lớn hơn"
"is","là"
"is not","không phải là"
"is not one of","không phải là một trong"
"is one of","là một trong"
"less than","ít hơn"
"to","đến"
