"%d Review(s)","%d đánh giá"
"%s Review(s)","%s đánh giá"
"(Posted on %s)","(Được đăng vào ngày %s)"
"1 star","1 sao"
"2 star","2 sao"
"2 stars","2 sao"
"3 star","3 sao"
"3 stars","3 sao"
"4 star","4 sao"
"4 stars","4 sao"
"5 star","5 sao"
"5 stars","5 sao"
"<a href=""%1$s"" onclick=""this.target=\'blank\'"">%2$s</a> <a href=""mailto:%3$s"">(%3$s)</a>","<a href=""%1$s"" onclick=""this.target=\'blank\'"">%2$s</a> <a href=""mailto:%3$s"">(%3$s)</a>"
"Add New Review","Thêm đánh giá mới"
"Add Your Review","Thêm đánh giá của bạn"
"Administrator","Quản trị viên"
"All Reviews","Tất cả đánh giá"
"All Reviews of Customer `%s`","Tất cả đánh giá của khách hàng `%s`"
"All Reviews of Product `%s`","Tất cả đánh giá về sản phẩm `%s`"
"Allow Guests to Write Reviews","Cho phép khách viết đánh giá"
"Approved","Đã chấp thuận"
"Are you sure you want to do this?","Bạn có chắc là muốn thực hiện điều này?"
"Are you sure?","Bạn có chắc không?"
"Average Customer Rating","Xếp hạng trung bình của khách hàng"
"Average Customer Rating:","Xếp hạng trung bình của khách hàng:"
"Back","Quay lại"
"Back to Main Product Info","Quay lại trang thông tin sản phẩm"
"Back to My Reviews","Quay lại đánh giá của tôi"
"Back to Product Reviews","Quay lại Đánh giá sản phẩm"
"Be the first to review this product","Trở thành người đầu tiên đánh giá sản phẩm này"
"Catalog Product Review View","Xem đánh giá sản phẩm trong danh mục"
"Catalog Product Reviews List","Danh sách đánh giá sản phẩm trong danh mục"
"Created On","Đã tạo vào"
"Customer","Khách hàng"
"Customer My Account Product Reviews","Đánh giá sản phẩm của tôi"
"Customer My Account Review Details","Chi tiết đánh giá của tôi"
"Customer Reviews","Đánh giá của khách hàng"
"Customers Reviews","Đánh giá của khách hàng"
"Delete","Xóa"
"Delete Review","Xóa đánh giá"
"Detailed Rating","Chi tiết xếp hạng"
"Edit Review '%s'","Sửa đánh giá '%s'"
"Guest","Khách"
"How do you rate this product?","Bạn đánh giá như thế nào về sản phẩm này?"
"ID","ID"
"Let us know your thoughts","Hãy cho chúng tôi biết suy nghĩ của bạn"
"Manage Ratings","Quản lý xếp hạng"
"My Product Reviews","Đánh giá sản phẩm của tôi"
"My Recent Reviews","Đánh giá gần đây của tôi"
"Name","Tên"
"Name in Store","Tên trên cửa hàng"
"New Review","Đánh giá mới"
"Nickname","Nickname"
"Nickname can\'t be empty","Nickname không thể để trống"
"Not Approved","Không được chấp thuận"
"Only registered users can write reviews. Please, <a href=""%s"">log in</a> or <a href=""%s"">register</a>","Chỉ những người dùng đã đăng ký mới được viết đánh giá. Vui lòng, <a href=""%s"">đăng nhập</a> hoặc <a href=""%s"">đăng ký</a>"
"Pending","Chờ xử lý"
"Pending Reviews","Đánh giá đang chờ xử lý"
"Pending Reviews of Customer `%s`","Chờ xử lý đánh giá của khách hàng `%s`"
"Please select a product","Vui lòng chọn một sản phẩm"
"Please select one of each of the ratings above","Vui lòng chọn một trong các xếp hạng ở trên"
"Posted By","Được đăng bởi"
"Price","Giá"
"Product","Sản phẩm"
"Product Name","Tên sản phẩm"
"Product Rating","Xếp hạng sản phẩm"
"Product Rating:","Xếp hạng sản phẩm:"
"Product Review (submitted on %s):","Đánh giá sản phẩm (được gửi vào %s):"
"Product Reviews","Đánh giá sản phẩm"
"Product SKU","SKU sản phẩm"
"Products Reviews","Đánh giá sản phẩm"
"Qty","Số lượng"
"Rating:","Xếp hạng:"
"Review","Đánh giá"
"Review (submitted on %s):","Đánh giá (submitted on %s):"
"Review Details","Chi tiết đánh giá"
"Review Form Fields Before","Mẫu đánh giá trước"
"Review by %s"," Được đánh giá bởi %s"
"Review by <span>%s</span>","Được nhận xét bởi <span>%s</span>"
"Review can\'t be empty","Đánh giá không thể để trống"
"Review summary can\'t be empty","Tóm tắt đánh giá không thể để trống"
"Reviews","Đánh giá"
"Reviews and Ratings","Đánh giá và xếp hạng"
"SKU","SKU"
"Save Review","Lưu đánh giá"
"Status","Trạng thái"
"Submit Review","Gửi đánh giá"
"Summary Rating","Tóm tắt xếp hạng"
"Summary of Review","Tóm tắt đánh giá"
"Summary of Your Review","Tóm tắt đánh giá của bạn"
"Title","Tiêu đề"
"Type","Loại"
"Unable to post the review.","Không thể đăng đánh giá."
"Update Status","Cập nhật trạng thái"
"View All Reviews","Hiển thị tất cả đánh giá"
"View Details","Hiển thị chi tiết"
"Visible In","Hiển thị trong"
"Websites","Websites"
"What's your nickname?","Nickname của bạn là gì?"
"Write Your Own Review","Viết đánh giá của bạn"
"You have submitted no reviews.","Bạn chưa có đánh giá nào."
"You're reviewing:","Bạn đang đánh giá:"
"Your Rating:","Xếp hạng của bạn:"
"Your Review (submitted on %s):","Đánh giá của bạn (được gửi vào %s):"
"Your review has been accepted for moderation.","Đánh giá của bạn đã được kiểm duyệt."
