"""%s"" is not available in the requested quantity. %s of the items will be backordered.","""%s"" không đủ số lượng yêu cầu. %s của các sản phẩm sẽ được giao trễ."
"%s is available for purchase in increments of %s only.","%s chỉ có sẵn để mua trong từng bước của %s."
"%s is not a correct comparsion method.","%s không phải là phương pháp so sánh đúng."
"<strong>Note</strong> that these settings are applicable to cart line items, not the whole cart.","<strong>Note</strong> các thiết lập này chỉ áp dụng cho các sản phẩm trong đường mua sắm của giỏ hàng, không phải toàn bộ giỏ hàng."
"Add Minimum Qty","Thêm số lượng tối thiểu"
"Allow Qty Below 0","Cho phép số lượng dưới 0"
"Allow Qty Below 0 and Notify Customer","Cho phép số lượng dưới 0 and Thông báo cho khách hàng"
"Automatically Return Credit Memo Item to Stock","Mặt hàng thuộc Hoàn trả được tự động trả về kho hàng"
"Backorders","Đơn hàng quá hạn"
"By Fixed value","Bằng giá trị cố định"
"By Percentage","Bằng tỷ lệ phần trăm"
"Cannot specify product identifier for the order item.","Không thể xác định tên sản phẩm cho đơn hàng."
"Catalog Inventory","Danh mục hàng tồn kho"
"Decrease Stock When Order is Placed","Giảm số lượng hàng khi có đơn đặt hàng"
"Display Out of Stock Products","Hiển thị sản phẩm hết hàng"
"Display products availability in stock in the frontend","Hiển thị sản phẩm còn hàng trên giao diện người dùng "
"Enable Qty Increments","Kích hoạt cho phép sản phẩm tăng lên"
"In Stock","Còn hàng"
"Index Product Stock Status","Chỉ mục trạng thái sản phẩm còn hàng"
"Inventory","Hàng tồn kho"
"Inventory API","API hàng tồn kho"
"Inventory Section","Mục hàng tồn kho"
"Manage Stock","Quản lý hàng hóa"
"Maximum Qty Allowed in Shopping Cart","Số lượng tối thiểu cho phép trong giỏ hàng"
"Minimum Qty","Số lượng tối thiểu"
"Minimum Qty Allowed in Shopping Cart","Số lượng tối thiểu cho phép trong giỏ hàng"
"Multi update product stock data","Cập nhật dữ liệu sản phẩm còn hàng"
"No Backorders","Không có đơn hàng quá hạn"
"Not all products are available in the requested quantity","Không phải tất cả sản phẩm đủ số lượng yêu cầu"
"Notify for Quantity Below","Thông báo khi số lượng dưới"
"Only %s left","Chỉ còn %s sản phẩm"
"Only X left Threshold","Chỉ còn X sản phẩm đến ngưỡng"
"Out of Stock","Hết hàng"
"Product Name","Tên sản phẩm"
"Product Stock Options","Tùy chọn kho sản phẩm"
"Products will still be shown by direct product URLs.","Sản phẩm vẫn được hiển thị bởi URLs sản phẩm trực tiếp."
"Qty","Số lượng"
"Qty Increments","Tăng số lượng"
"Qty for Item's Status to Become Out of Stock","Số lượng sản phẩm hết hàng"
"Retrieve stock data","Lấy dữ liệu kho hàng "
"Retrieve stock data by product ids","Lấy dữ liệu kho hàng bởi mã sản phẩm"
"Rule price","Giá"
"Set Items' Status to be In Stock When Order is Cancelled","Đặt tình trạng sản phẩm còn hàng khi đơn hàng bị hủy"
"Some of the products are currently out of stock.","Một số sản phẩm hiện đang hết hàng."
"Some of the products cannot be ordered in requested quantity.","Một số sản phẩm không thể đặt hàng với số lượng yêu cầu."
"Some of the products cannot be ordered in the requested quantity.","Một số sản phẩm không thể đặt hàng với số lượng yêu cầu."
"Stock Options","Tùy chọn kho hàng"
"Stock Status","Tình trạng kho hàng"
"The maximum quantity allowed for purchase is %s.","Số lượng tối đa cho phép mua là %s."
"The minimum quantity allowed for purchase is %s.","Số lượng tối thiểu cho phép mua là %s."
"The requested quantity for ""%s"" is not available.","Số lượng yêu cầu cho ""%s"" không có sẵn."
"The stock item for Product in option is not valid.","Tùy chọn sản phẩm trong kho không đúng ."
"The stock item for Product is not valid.","Sản phẩm trong kho không đúng."
"This product is available for purchase in increments of %s only.","Sản phẩm này chỉ có trong giỏ hàng tăng của %s."
"This product is currently out of stock.","Sản phẩm này hiện đang hết hàng."
"This product is not available in the requested quantity. %s of the items will be backordered.","Sản phẩm này không đủ số lượng yêu cầu. %s của các sản phẩm sẽ được giao trễ."
"To Fixed Value","Với giá trị cố định"
"To Percentage","Với tỷ lệ phần trăm
"Undefined product type.","Không xác định được loại sản phẩm."
"Update","Cập nhật"
"Update product stock data","Cập nhật dữ liệu kho hàng"
"Update the Product","Cập nhật sản phẩm"
