"%s Index process is working now. Please try run this process later.","Tiến trình chỉ mục %s đang tiến hành. Vui lòng thử lại sau."
"%s index was rebuilt.","%s chỉ mục đã được xây dựng lại."
"'%s' Index Process Information","Thông tin quá trình chỉ mục '%s' "
"Action","Hoạt động"
"Cannot initialize the indexer process.","Không thể khởi tạo tiến trình chỉ mục."
"Change Index Mode","Thay đổi chế độ chỉ mục"
"Click here to go to <a href=""%s"">Cache Management</a> and refresh cache types.","Nhấn vào đây để đi đến <a href=""%s"">Quản lý bộ nhớ đệm</a> và làm mới các loại bộ nhớ đệm."
"Click here to go to <a href=""%s"">Index Management</a> and rebuild required indexes.","Nhấn vào đây để đi đến <a href=""%s"">Quản lý chỉ mục</a> và xây dựng lại các chỉ số yêu cầu."
"Delete","Xóa"
"Description","Mô tả"
"Disable","Vô hiệu hóa"
"Enable","Kích hoạt"
"General","Chung"
"Index","Chỉ mục"
"Index Description","Mô tả chỉ mục"
"Index Management","Quản lý chỉ mục"
"Index Mode","Chế độ chỉ mục"
"Index Name","Tên chỉ mục"
"Index mode","Chế độ chỉ mục"
"Indexer code is not defined.","Không xác định được mã mục."
"Indexer model is not defined.","Không xác định được kiểu mục"
"Indexer model should extend Mage_Index_Model_Indexer_Abstract.","Mục phải mở rộng Mage_Index_Model_Indexer_Abstract."
"Manual Update","Cập nhật thủ công"
"Mode","Chế độ"
"Never","Không bao giờ"
"No","Không"
"One or more of the Indexes are not up to date:","Một hoặc nhiều mục không được cập nhật:"
"Please select Index(es)","Vui lòng chọn (các) mục"
"Please select Indexes","Vui lòng chọn các mục"
"Process Information","Thông tin tiến trình"
"Processing","Đang xử lý"
"Ready","Sẵn sàng"
"Refresh","làm mới"
"Reindex Data","Chỉ mục lại dữ liệu"
"Reindex Required","Chỉ mục lại bắt buộc"
"Revoke","Thu hồi"
"Status","Tình trạng"
"System","Hệ thống"
"The index has been saved.","Chỉ mục đã được lưu."
"There was a problem with reindexing process.","Có lỗi xảy ra với tiến trình chỉ mục lại."
"There was a problem with saving process.","Có lỗi xảy ra khi lưu tiến trình."
"Total of %d index(es) have changed index mode.","Tổng số %d (các) chỉ mục đã được thay đổi chế độ chỉ mục."
"Total of %d index(es) have reindexed data.","Tổng số %d (các) chỉ mục đã được chỉ mục lại dữ liệu."
"Update Required","Bắt buộc cập nhật"
"Update on Save","Lưu cập nhật"
"Updated At","Đã cập nhật vào"
"Yes","Có"
