"Add Recipient","Thêm người nhận"
"Allow for Guests","Cho phép khách gửi"
"An invalid email address for recipient was entered.","Đã nhập một emaileejcho người nhận không đúng."
"At least one recipient must be specified.","Ít nhất phải xác định một người nhận."
"Back","Quay lại"
"Catalog Product Email to a Friend","Gửi email danh mục sản phẩm cho bạn bè"
"Email Address","Địa chỉ email"
"Email Address:","Địa chỉ email:"
"Email Templates","Mẫu email"
"Email to a Friend","Gửi cho bạn bè"
"Email:","Địa chỉ email:"
"Enabled","Kích hoạt"
"Invalid Sender Information","Sai thông tin người gửi"
"Invalid sender email.","Sai email người gửi."
"Limit Sending By","Giới hạn số lần gửi bằng"
"Max Products Sent in 1 Hour","Số sản phẩm được gửi trong 1 giờ"
"Max Recipients","Số người nhận tối đa"
"Maximum %d email addresses allowed.","Bạn chỉ có thể gửi %d email người nhận."
"Message:","Tin nhắn kèm theo:"
"Name","Tên"
"Name:","Tên:"
"No more than %d emails can be sent at a time.","Bạn không được gửi quá %d trong cùng khoảng thời gian."
"Please define a correct Cookie instance.","Hãy xác định trường hợp đúng Cookie."
"Please define a correct Product instance.","Hãy xác định trường hợp đúng sản phẩm."
"Please define the correct Sender information.","Hãy xác định thông tin người gửi chính xác."
"Recipient:","Người nhận:"
"Remove Email","Xóa bỏ"
"Select Email Template","Chọn mẫu email"
"Send Email","Gửi ngay"
"Send product to a friend","Gửi sản phẩm cho bạn bè"
"Sender:","Người gửi:"
"Some emails were not sent.","Một vài email chưa gửi được."
"The link to a friend was sent.","Liên kết với bạn bè đã được gửi."
"The message cannot be empty.","Phần tin nhắn phải nhập thông tin."
"The messages cannot be sent more than %d times in an hour","Tin nhắn không thể gửi nhiều hơn %d lần trong một giờ"
"The sender name cannot be empty.","Bạn phải nhập tên người gửi."
"There were some problems with the data.","Có một vài vấn đề với dữ liệu."
"You have exceeded limit of %d sends in an hour,""Bạn đã gửi quá số lượng cho phép: %d lần gửi trong khoảng thời gian"""
