"# of Uses","# của Người dùng"
"%s tag(s) have been accepted for moderation.","(Các) thẻ %s đã được kiểm duyệt."
"<strong>Tag Name:</strong> %s","<strong>Tên thẻ:</strong> %s"
"Action","Thao tác"
"Add","Thêm"
"Add New Tag","Thêm thẻ mới"
"Add Tags","Thêm thẻ"
"Add Your Tags:","Thêm thẻ của bạn:"
"Add tag(s) to product","Thêm thẻ vào sản phẩm"
"Add to Cart","Chọn mua"
"Add to Wishlist","Thêm vào danh sách thích"
"All Tags","Tất cả thẻ"
"Approved","Đã được phê duyệt"
"Are you sure you want to delete this tag?","Bạn có chắc muốn xóa thẻ?"
"Are you sure you want to do this?","Bạn có chắc muốn thực hiện nó?"
"Are you sure?","Bạn có chắc không?"
"Back","Trở về"
"Back to Tags List","Trở về danh sách thẻ"
"Base Popularity","Phổ biến"
"Block Information","Khối thông tin"
"CSV","CSV"
"Catalog Product View","Xem Danh mục sản phẩm"
"Change status","Thay đổi trạng thái"
"Click on a tag to view your corresponding products.","Nhấp chuột vào một thẻ để xem các sản phẩm tương ứng của bạn."
"Country","Quốc gia"
"Customer My Account My Tags List","Danh sách thẻ của khách hàng"
"Customer My Account Tag View","Xem thẻ của khách hàng"
"Customer Since","Khách hàng từ"
"Customers","Khách hàng"
"Customers Submitted this Tag","Khách hàng gửi thẻ này"
"Customers Tagged '%s'","Khách hàng được tag '%s'"
"Delete","Xóa"
"Delete Tag","Xóa thẻ"
"Disabled","Vô hiệu"
"Edit Tag '%s'","Chỉnh sửa Thẻ '%s'"
"Email","Email"
"First Name","Tên"
"General Information","Thông tin chung"
"Grid","Lưới"
"ID","ID"
"Info","Thông tin"
"Last Name","Họ"
"List","Danh sách"
"Manage Tags","Quản lý thẻ"
"Middle Name","Tên đệm"
"My Recent Tags","Thẻ gần đây của tôi"
"My Tags","Thẻ của tôi"
"Name","Tên"
"New Tag","Thẻ mới"
"No matches found.","Không tìm thấy kết quả phù hợp."
"Other people marked this product with these tags:","Những người khác đánh dấu sản phẩm này với các thẻ:"
"Pending","Chờ xử lý"
"Pending Tags","Thẻ chờ xử lý"
"Popular","Phổ biến"
"Popular Tags","Thẻ phổ biến"
"Price","Giá"
"Product Name","Tên sản phẩm"
"Product SKU","SKU sản phẩm"
"Product Tag API","API Thẻ sản phẩm"
"Product Tags,""Thẻ sản phẩm"""
"Products,""Thẻ sản phẩm"""
"Products Tagged by Administrators,""Sản phẩm được gắn thẻ bởi quản trị viên"""
"Products Tagged by Customers,""Sản phẩm được gắn thẻ bởi khách hàng"""
"Products Tagged with '%s',""Sản phẩm được gắn thẻ với '%s'"""
"Products tagged with '%s',""Sản phẩm được gắn thẻ với '%s'"""
"Rebuild Tag aggregation data,""Thiết lập lại thẻ tập hợp dữ liệu"""
"Remove","Xóa"
"Remove product tag","Xóa thẻ sản phẩm"
"Retrieve list of tags by product","Danh sách các thẻ theo sản phẩm"
"Retrieve product tag info","Thông tin thẻ sản phẩm"
"SKU","Mã sản phẩm (SKU)"
"Save Tag","Lưu thẻ"
"Save and Continue Edit","Lưu và tiếp tục chỉnh sửa"
"Status","Trạng thái"
"Store View","Cửa hàng"
"Tag,""Tag"""
"Tag ""%s"" has already been added to the product.,""Thẻ """"%s"""" đã được thêm vào sản phẩm."""
"Tag ""%s"" has been added to the product.,""Thẻ """"%s"""" đã được thêm vào sản phẩm."""
"Tag ""%s"" has been rejected by administrator.,""Thẻ """"%s"""" đã bị từ chối bởi quản trị viên."""
"Tag Aggregation Data,""Thẻ tập hợp dữ liệu"""
"Tag Name","Tên thẻ"
"Tagged Products List","Danh sách thẻ sản phẩm"
"Tags","Thẻ"
"Tags List (All Available)","Danh sách thẻ (Tất cả có sẵn)"
"Tags List Before","Danh sách thẻ trước"
"Tags:","Thẻ:"
"Telephone","Điện thoại"
"The tag has been deleted.","Thẻ đã bị xóa."
"There are no tags available.","Không có thẻ có sẵn."
"Unable to find any products tagged with '%s' in the current store","Không thể tìm thấy bất kỳ sản phẩm được gắn thẻ '%s' trong các cửa hàng hiện tại"
"Unable to remove tag. Please, try again later.","Không thể xóa thẻ. Xin vui lòng thử lại sau."
"Unable to save tag(s).","Không thể lưu thẻ."
"Update","Cập nhật"
"Update product tag","Cập nhật thẻ sản phẩm"
"Use spaces to separate tags. Use single quotes (') for phrases.","Sử dụng khoảng trắng để phân cách các tag. Sử dụng dấu ngoặc đơn ('') cho các cụm từ."
"View All Tags","Xem toàn bộ thẻ"
"View Customers","Xem khách hàng"
"View Products","Xem sản phẩm"
"XML","XML"
"You have not tagged any products yet.","Bạn đã chưa gắn thẻ bất kỳ sản phẩm nào."
"ZIP/Post Code","Mã bưu chính/bưu điện"
"[STORE VIEW]","[CỬA HÀNG]"
