" Select Shipping Method"," Chọn phương pháp giao hàng"
"<br/>Trace confirmation request:<br/>%s","<br/>Yêu cầu xác nhận dấu vết:<br/>%s"
"Access Key","Mã truy cập"
"Access Key ID","ID Mã truy cập"
"Amazon Simple Pay","Amazon Simple Pay"
"Amazon Simple Pay notification error","Amazon Simple Pay thông báo lỗi"
"Amazon Simple Pay service capture confirmation error: confirmation request amount is not equal to the amount of order.","Dịch vụ Amazon Simple Pay gặp lỗi xác nhận: số lượng yêu cầu xác nhận không tương ứng với số lượng đơn hàng."
"Amazon Simple Pay service capture confirmation error: the amount in the existing invoice does not match the amount in the confirmation request.","Dịch vụ Amazon Simple Pay gặp lỗi xác nhận: Số lượng trong hóa đơn hiện tại không khớp với số lượng trong yêu cầu xác nhận."
"Amazon Simple Pay service capture confirmation error: the existing transaction ID does not match the transaction ID in the confirmation request.","Dịch vụ Amazon Simple Pay gặp lỗi xác nhận: ID giao dịch hiện tại không khớp với ID giao dịch trong yêu cầu xác nhận."
"Amazon Simple Pay service capture confirmation. The invoice was captured automatically.","Dịch vụ Amazon Simple Pay gặp lỗi xác nhận. Hóa đơn được chụp tự động."
"Amazon Simple Pay service confirmation error: order states sequence violation.","Lỗi xác nhận dịch vụ Amazon Simple Pay: Đơn hàng vi phạm trình tự."
"Amazon Simple Pay service confirmation error: the order currency does not match the currency of the IPN request.","Lỗi xác nhận dịch vụ Amazon Simple Pay: đơn vị ngoại tệ của đơn hàng không khớp với đơn vị tiền tệ của yêu cầu IPN."
"Amazon Simple Pay service confirmation error: the order specified in the IPN request cannot be found.","Lỗi xác nhận dịch vụ Amazon Simple Pay: không thể tìm thấy đơn hàng trong yêu cầu IPN."
"Amazon Simple Pay service confirmation error: the payment method in the order is not Amazon Simple Pay.","Lỗi xác nhận dịch vụ Amazon Simple Pay: phương pháp thanh toán trong đơn hàng không phải là Amazon Simple Pay."
"Amazon Simple Pay service confirmed capture for invoice %s.","Dịch vụ Amazon Simple Pay xác nhận chụp lại hóa đơn %s."
"Amazon Simple Pay service confirmed refund for credit memo %s.","Dịch vụ Amazon Simple Pay xác nhận hoàn trả cho hoàn tiền %s."
"Amazon Simple Pay service has confirmed amount authorization.","Dịch vụ Amazon Simple Pay xác nhận số lượng ủy quyền."
"Amazon Simple Pay service has confirmed cancelation.","Dịch vụ Amazon Simple Pay xác nhận hủy."
"Amazon Simple Pay service has confirmed capture for invoice %s. The invoice was automatically captured.","Dịch vụ Amazon Simple Pay xác nhận chụp lại hóa đơn %s. Hóa đơn sẽ được tự động chụp lại."
"Amazon Simple Pay service has confirmed capture initiation.","Dịch vụ Amazon Simple Pay service has confirmed capture initiation."
"Amazon Simple Pay service has confirmed capture."," Dịch vụ Amazon Simple Pay xác nhận chụp lại."
"Amazon Simple Pay service has confirmed payment capture. Invoice %s was automatically created after confirmation.","Dịch vụ Amazon Simple Pay xác nhận chụp lại thanh toán. Hóa đơn %s sẽ được tạo tự động sau khi xác nhận."
