"Action","Thao tác"
"Add Sitemap","Thêm sơ đồ trang"
"Always","Luôn luôn"
"CMS Pages Options","Tùy chọn trang CMS"
"Categories Options","Tùy chọn danh mục"
"Daily","Hàng ngày"
"Edit Sitemap","Sửa sơ đồ trang web"
"Enabled","Kích hoạt"
"Error Email Recipient","Lỗi người nhận email"
"Error Email Sender","Lỗi người gửi email"
"Error Email Template","Lỗi mẫu email"
"File ""%s"" cannot be saved. Please, make sure the directory ""%s"" is writeable by web server.","Tập tin """"%s"""" không thể lưu. Hãy chắc chắn thư mục """"%s"""" được ghi bởi máy chủ web."
"Filename","Tên tệp"
"Frequency","Tần suất"
"Generate","Tạo"
"Generation Settings","Cài đặt chung"
"Google Sitemap"," Sơ đồ trang web Google"
"Hourly","Hàng giờ"
"ID","ID"
"Last Time Generated","Hoạt động gần nhất"
"Link for Google","Liên kết cho Google"
"Monthly","Hàng tháng"
"Never","Không bao giờ"
"New Sitemap","Sơ đồ trang web mới"
"Path","Đường dẫn"
"Please create the specified folder ""%s"" before saving the sitemap.","Vui lòng tạo thư mục chỉ định """"%s"""" trước khi lưu sơ đồ trang web."
"Please define correct path","Hãy xác định đường dẫn chính xác"
"Please make sure that ""%s"" is writable by web-server.","Hãy chắc chắn """"%s"""" được ghi bởi máy chủ web."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in the filename. No spaces or other characters are allowed.,""Vui lòng sử dụng chữ cái (a-z hoặc A-Z), số (0-9) hoặc dấu gạch dưới duowistrong tên tập tin. Không cho phép dấu cách và các ký tự khác."""
"Priority","Ưu tiên"
"Products Options","Tùy chọn sẩn phẩm"
"Sitemap","Sơ đồ trang web"
"Sitemap generate Warnings","Cảnh báo tạo sơ đồ trang web"
"Start Time","Thời gian bắt đầu"
"Store View","Xem cửa hàng"
"The priority must be between 0 and 1.","Ưu tiên phải nằm giữa 0 và 1."
"The sitemap ""%s"" has been generated.","Sơ đồ trang web """"%s"""" đã được tạo."
"The sitemap has been deleted.","Sơ đồ trang web đã xóa."
"The sitemap has been saved.","Sơ đồ trang web đã lưu."
"This sitemap no longer exists.","Sơ đồ trang web không tồn tại."
"Unable to find a sitemap to delete.","Không thể tìm thấy sơ đồ trang web để xóa."
"Unable to find a sitemap to generate.","Không tìm thấy sơ đồ trang web để tạo."
"Unable to generate the sitemap.","Không thể tạo sơ đồ trang web."
"Valid values range: from 0.0 to 1.0.","Giá trị đúng trong khoảng: từ 0.0 đến 1.0."
"Weekly","Hàng tuần"
"Yearly","Hàng năm"
