"Alert Email Sender","Người gửi email thông báo"
"Alert subscription has been saved.","Đăng ký theo dõi thông báo đã được lưu lại."
"Allow Alert When Product Comes Back in Stock","Cho phép thông báo khi sản phẩm có hàng lại"
"Allow Alert When Product Price Changes","Cho phép thông báo khi giá sản phẩm thay đổi"
"Click here not to receive alerts for this product","Nhấp chuột vào đây để nhận thông báo về sản phẩm này"
"Error Email Recipient","Lỗi email người nhận"
"Error Email Sender","Email gửi bị lỗi"
"Error Email Template","Mẫu email bị lỗi"
"Frequency","Tần số"
"Not enough parameters.","Không đủ tham số."
"Price Alert Email Template","Mẫu email thông báo giá"
"Price:","Giá:"
"Product Alerts","Thông báo sản phẩm"
"Product Alerts Run Settings","Cài đặt chạy thông báo sản phẩm"
"Product alerts Cron error","Lỗi chương trình thông báo sản phẩm tự động định kỳ"
"Product price alert","Thông báo giá sản phẩm"
"Product stock alert","Thông báo sản phẩm còn hàng"
"Regular Price:","Giá thông thường:"
"Sign up for price alert","Đăng ký cho thông báo giá"
"Sign up to get notified when this product is back in stock","Đăng ký để nhận thông báo khi sản phẩm này có hàng lại"
"Special price:","Giá đặc biệt:"
"Start Time","Thời gian bắt đầu"
"Stock Alert Email Template","Mẫu email thông báo kho hàng"
"The alert subscription has been deleted.","Đăng ký theo dõi thông báo đã bị xóa."
"The alert subscription has been saved.","Đăng ký theo dõi thông báo đã được lưu lại."
"The product is not found.","Không tìm thấy sản phẩm."
"The product was not found.","không tìm thấy sản phẩm."
"Unable to update the alert subscription.","Không thể cập nhật đăng ký theo dõi thông báo."
"Unsubscribe from all price alerts","Hủy đăng ký theo dõi tất cả thông báo giá"
"Unsubscribe from all stock alerts","Hủy đăng ký theo dõi tất cả thông báo kho hàng"
"You are receiving this notification because you subscribed to receive alerts when the following products are back in stock:","Bạn nhận được thông báo này vì bạn đã đăng ký nhận thông báo khi sản phẩm dưới đây có hàng lại:"
"You are receiving this notification because you subscribed to receive alerts when the prices for the following products changed:","Bạn nhận được thông báo này vì bạn đã đăng ký nhận thông báo khi có thay đổi giá các sản phẩm dưới đây:"
"You will no longer receive price alerts for this product.","Bạn sẽ không còn nhận thông báo giá cho sản phẩm này."
"You will no longer receive stock alerts for this product.","Bạn sẽ không còn nhận thông báo tình trạng còn hàng cho sản phẩm này."
"You will no longer receive stock alerts.","Bạn sẽ không còn nhận thông báo cho kho hàng."
