"%s - Discounts and Coupons","%s - Giảm giá và khuyến mãi"
"%s - Special Products","%s - Sản phẩm đặc biệt"
"%s RSS Feed","%s Nguồn cấp RSS"
"%s has reached a quantity of %s.","%s đã đạt số lượng là %s."
"%s\'s Wishlist","%s của danh sách thích"
"Cannot retrieve the wishlist","Không thể lấy danh sách thích"
"Catalog","Danh mục hàng"
"Category Feeds",Nguồn cấp loại mặt hàng"
"Click for price","Nhấn để xem giá"
"Comment: %s<br/>","Bình luận: %s<br/>"
"Coupons/Discounts","Khuyến mãi/Giảm giá"
"Current Status: %s<br/>","Tình trạng hiện tại: %s<br/>"
"Customer Name: %s","Tên khách hàng: %s"
"Customer Order Status Notification","Thông báo tình trạng đơn hàng của khách hàng"
"Details for %s #%s","Chi tiết cho %s #%s"
"Discount","Giảm giá"
"Discount (%s)","Giảm giá (%s)"
"Enable RSS","Kích hoạt RSS"
"Error in processing xml. %s","Lỗi khi xử lý xml. %s"
"From:","Từ:"
"Get Feed","Lấy nguồn cấp"
"Gift Message","Thông điệp quà tặng"
"Grand Total","Tổng cộng"
"Low Stock Products","Sản phẩm số lượng ít"
"Message:","Lời nhắn:"
"Miscellaneous Feeds","Nguồn cấp hỗn hợp"
"New Orders","Đơn hàng mới"
"New Products","Sản phẩm mới"
"New Products from %s","Sản phẩm mới từ %s"
"Notified Date: %s<br/>","Ngày thông báo: %s<br/>"
"Order # %s Notification(s)","Đơn hàng # %s (các) Thông báo"
"Order #%s created at %s","Đơn hàng #%s đã được tạo vào %s"
"Pending product review(s)","Đang gửi đánh giá sản phẩm"
"Product: ""%s"" review By: %s","Sản phẩm: ""%s"" được đánh giá bởi: %s"
"Product: <a href=""%s"">%s</a> <br/>","Sản phẩm: <a href=""%s"">%s</a> <br/>"
"Products tagged with %s","Sản phẩm được gắn thẻ với %s"
"Purchased From: %s","Được mua từ: %s"
"RSS","RSS"
"RSS Feeds","Nguồn cấp RSS"
"RSS Feeds List","Danh sách nguồn cấp RSS"
"RSS Feeds Section","Mục nguồn cấp RSS"
"Review: %s <br/>","Đánh giá: %s <br/>"
"Rss Config","Cấu hình RSS"
"Shipping &amp; Handling","Vận chuyển &amp; Xử lý"
"Special Products","Sản phẩm đặc biệt"
"Store: %s <br/>","Cửa hàng: %s <br/>"
"Subtotal","Tổng số"
"Summary of review: %s <br/>","Tóm tắt đánh giá: %s <br/>"
"Tags Products","Sản phẩm được gắn thẻ"
"Tax","Thuế"
"There are no Rss Feeds","Không có nguồn cấp RSS nào"
"To:","Đến:"
"Top Level Category","Loại mặt hàng bán chạy"
"Total: %s<br/>","Tổng: %s<br/>"
"Wishlist","Danh sách thích"
"click <a href=""%s"">here</a> to view the review","Nhấn <a href=""%s"">vào đây</a> để xem đánh giá"
