"""%s"" contains not only digit characters.","""%s"" không chỉ chứa ký tự số."
"""%s"" does not fit the entered date format.","""%s"" không phù hợp định dạng ngày."
"""%s"" exceeds the allowed file size.","""%s"" vượt quá kích thước tệp cho phép."
"""%s"" exceeds the allowed length.","""%s"" vượt quá độ dài cho phép."
"""%s"" has not only alphabetic and digit characters.","""%s"" không chỉ chứa ký tự chữ và số."
"""%s"" has not only alphabetic characters.","""%s"" không chỉ chứa ký tự chữ."
"""%s"" height exceeds allowed value of %s px.","""%s"" có chiều cao vượt quá giá trị cho phép là %s px."
"""%s"" invalid type entered.","""%s"" loại nhập vào không đúng."
"""%s"" is a required value.","""%s"" là giá trị bắt buộc."
"""%s"" is an empty string.","""%s"" là chuỗi ký tự rỗng."
"""%s"" is not a valid URL.","""%s"" là một URL không đúng."
"""%s"" is not a valid date.","""%s"" không phải là ngày đúng."
"""%s"" is not a valid email address.","""%s"" không phải là địa chỉ email đúng."
"""%s"" is not a valid file","""%s"" là tệp không đúng"
"""%s"" is not a valid file extension.","""%s"" không phải là tệp tiện ích đúng."
"""%s"" is not a valid file.","""%s"" là tệp không đúng."
"""%s"" is not a valid hostname.","""%s"" không phải là tên miền đúng."
"""%s"" is not a valid image format","""%s"" không phải là định dạng hình ảnh đúng"
"""%s"" length must be equal or greater than %s characters.",Chiều dài của """%s"" phải lớn hơn hoặc bằng %s ký tự."
"""%s"" length must be equal or less than %s characters.",Chiều dài của """%s"" phải ít hơn hoặc bằng %s ký tự."
"""%s"" width exceeds allowed value of %s px.",Chiều rộng của """%s"" vượt quá giá trị cho phép là %s px."
"'%value%' appears to be a DNS hostname but cannot extract TLD part","'%value%' dường như là tên máy chủ DNS nhưng không thể truy xuất đến một phần TLD"
"'%value%' appears to be a DNS hostname but cannot match TLD against known list","'%value%' dường như là tên máy chủ DNS nhưng không phù hợp với danh sách đã biết"
"'%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%'","'%value%' dường như là tên máy chủ DNS nhưng không phù hợp với sơ đồ tên máy chủ TLD '%tld%'"
"'%value%' appears to be a DNS hostname but contains a dash in an invalid position","'%value%' dường như là tên máy chủ DNS nhưng chứa dấu gạch ngang ở vị trí không đúng"
"'%value%' appears to be a DNS hostname but the given punycode notation cannot be decoded","'%value%' dường như là tên máy chủ DNS nhưng các ký hiệu punycode không thể giải mã"
"'%value%' appears to be a local network name but local network names are not allowed","'%value%' dường như là tên máy chủ DNS nhưng là tên mạng cục bộ không được phép"
"'%value%' appears to be an IP address, but IP addresses are not allowed","'%value%' dường như là một địa chỉ IP nhưng địa chỉ IP không được phép"
"'%value%' does not appear to be a valid URI hostname","'%value%' dường như không phải là tên máy chủ URI đúng"
"'%value%' does not appear to be a valid local network name","'%value%' dường như không phải là tên mạng cục bộ đúng"
"'%value%' does not match the expected structure for a DNS hostname","'%value%' không phù hợp với tên một máy chủ DNS"
"A joint field with this alias (%s) is already declared","Một trường liên kết với bí danh này (%s) đã được khai báo"
"Add Option","Thêm tùy chọn"
"An error occurred while loading a record, aborting. Error: %s","Có lỗi xảy ra khi tải bản ghi, hủy bỏ. Lỗi: %s"
"An error occurred while loading the collection, aborting. Error: %s","Có lỗi xảy ra khi tải bộ sưu tập, hủy bỏ. Lỗi: %s"
"An error occurred while saving a record, aborting. Error: ","Có lỗi xảy ra khi lưu bản ghi, hủy bỏ. Lỗi. Error: "
"Attempt to add an invalid object","Cố gắng thêm một đối tượng không đúng"
"Attribute '%s' used in configurable products","Thuộc tính '%s' đã được dùng trong sản phẩm cấu hình"
"Attribute Code","Mã thuộc tính"
"Attribute Label","Nhãn thuộc tính"
"Attribute Properties","Các đặc trưng thuộc tính"
"Attribute object is undefined","Không xác định được đối tượng thuộc tính"
"Attribute set with the ""%s"" name already exists.","Tập thuộc tính có tên ""%s"" đã tồn tại."
"Attribute with the same code","Thuộc tính có cùng mã"
"Can\'t create table: %s","Không thể tạo bảng: %s"
"Catalog Input Type for Store Owner","Loại danh mục nhập vào cho chủ cửa hàng"
"Current module EAV entity is undefined","Hiện không xác định được thực thể mô-đun EAV"
"Current module pathname is undefined","Hiện không xác định được tên đường dẫn mô-đun"
"Data integrity: No header row found for attribute","Tính toàn vẹn dữ liệu: Không tìm thấy tiêu đề cho thuộc tính"
"Date","Ngày"
"Decimal Number","Số thập phân"
"Default Product Listing Sort by does not exist in Available Product Listing Sort By.","Sắp xếp danh sách sản phẩm mặc định không tồn tại trong Sắp xếp danh sách sản phẩm hiện có."
"Default Value","Giá trị mặc định"
"Default option value is not defined","Không xác định được giá trị tùy chọn mặc định"
"Delete","Xóa"
"Dropdown","Thả xuống"
"Email","Email"
"Entity collection expected.","Danh sách các thực thể."
"Entity collections expected.","Danh sách các thực thể."
"Entity instance is not defined","Không xác định được điển hình thực thể"
"Entity is not initialized","Thực thể không được khởi tạo"
"Entity object is undefined","Không xác định được đối tượng thực thể"
"Failed to load node %s from config","Không thể tải nút %s từ cấu hình"
"For internal use. Must be unique with no spaces. Maximum length of attribute code must be less then %s symbols","Dùng cho nội bộ. Phải là duy nhất và không có khoảng trắng. Chiều dài tối đa của thuộc tính phải ít hơn %s ký tự"
"Form Element with the same attribute","Phần tử forrm có cùng thuộc tính"
"Form Fieldset with the same code","Trường form có cùng mã"
"Form Type with the same code","Loại form có cùng mã"
"Form code is not defined","Không xác định được mã form"
"Frontend label is not defined","Không xác định được nhãn giao diện người dùng"
"Input Validation for Store Owner","Xác nhận đầu vào cho chủ cửa hàng"
"Integer Number","Số nguyên"
"Invalid EAV attribute.","Thuộc tính EAV không đúng."
"Invalid alias, already exists in joint attributes","Bí danh không đúng, đã tồn tại trong các thuộc tính chung"
"Invalid attribute name: %s","Tên thuộc tính không đúng: %s"
