"3D Secure","An toàn 3D"
"3D Secure Card Validation","Xác nhận bảo mật thẻ 3D"
"API Login ID","ID đăng nhập API"
"Accepted Currency","Tiền tệ được chấp nhận"
"Allow Partial Authorization","Cho phép ủy quyền từng phần"
"Are you sure you want to cancel your payment? Click OK to cancel your payment and release the amount on hold. Click Cancel to enter another credit card and continue with your payment.","Bạn có chắc chắn muốn hủy thanh toán của bạn? Nhấn OK để hủy bỏ thanh toán và giữ lại số tiền của bạn. Nhấn Cancel để nhập một thẻ tín dụng và tiếp tục thanh toán của bạn."
"Authorize Only","Chỉ ủy quyền"
"Authorize and Capture","Ủy quyền và chấp nhận giao dịch"
"Authorize.Net Transaction ID %s","ID giao dịch Authorize.Net %s"
"Authorize.net","Authorize.net"
"Cancel","Hủy bỏ"
"Centinel API URL","Centinel API URL"
"Credit Card Types","Các loại thẻ tín dụng"
"Credit Card Verification","Xác nhận thẻ tín dụng"
"Credit Card: xxxx-%s","Thẻ tín dụng: xxxx-%s"
"Debug","Sửa lỗi"
"Email Customer","Email khách hàng"
"Enabled","Đã kích hoạt"
"Error in payment gateway.","Có lỗi xảy ra ở cổng thanh toán."
"Gateway actions are locked because the gateway cannot complete one or more of the transactions. Please log in to your Authorize.Net account to manually resolve the issue(s).","Hoạt động cổng thanh toán bị khóa vào không thể hoàn thành một hoặc nhiều giao dịch. Xin hãy đăng nhập vào tài khoản của bạn trên Authorize.Net để giải quyết vấn đề."
"Gateway error: %s","Lỗi cổng thanh toán: %s"
"If empty, a default value will be used. Custom URL may be provided by CardinalCommerce agreement.","Nếu trống, giá trị mặc định sẽ được sử dụng. URL tùy chỉnh có thể được cung cấp theo thỏa thuận Thương mại."
"Invalid amount for authorization.","Số tiền không đúng cho ủy quyền."
"Invalid amount for capture.","Số tiền không đúng cho xác nhận giao dịch."
"Invalid amount for partial authorization.","Số tiền không đúng cho ủy quyền từng phần."
"Invalid amount for refund.","Số tiền không đúng cho hoàn trả."
"Invalid split tenderId ID.","ID tenderId phân tách không  đúng."
"Maximum Order Total","Tổng đơn đặt hàng tối đa"
"Merchant's Email","Email người bán"
"Minimum Order Total","Tổng đơn đặt hàng tối thiểu"
"New Order Status","Tình trạng đơn hàng mới"
"Parent Authorize.Net transaction (ID %s) expired","Phiên giao dịch chính trên Authorize.Net (ID %s) đã hết hạn"
"Payment Action","Hoạt động thanh toán"
"Payment authorization error.","Lỗi ủy quyền thanh toán."
"Payment canceling error.","Lỗi khi hủy thanh toán."
"Payment capturing error.","Lỗi xác nhận thanh toán."
"Payment from Applicable Countries","Thanh toán từ những nước khả dụng"
"Payment from Specific Countries","Thanh toán từ những nước cụ thể"
"Payment partial authorization error.","Lỗi ủy quyền thanh toán từng phần."
