"""Remember Me"" Default Value","""Nhắc nhở tôi"" Giá trị mặc định"
"(Not %s?)","(Không phải %s?)"
"* Required Fields","* Trường bắt buộc"
"Address","Địa chỉ"
"Address Information","Thông tin địa chỉ"
"Already registered?","Đã đăng ký?"
"Back","Quay lại"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Với việc tạo một tài khoản với chúng tôi, bạn sẽ có thể xem các bước thanh toán nhanh hơn, lưu trữ nhiều địa chỉ nhận hàng, xem và theo dõi đơn đặt hàng trong tài khoản của bạn và nhiều hơn nữa."
"Cannot load configuration from file %s.","Không thể tải cấu hình từ tệp %s."
"Checking &quot;Remember Me&quot; will let you access your shopping cart on this computer when you are logged out","Đánh dấu &quot;Ghi nhớ tôi&quot; sẽ cho phép bạn truy cập vào giỏ hàng trên máy tính này khi bạn đăng xuất"
"Checkout as Guest","Khách thanh toán"
"Checkout as a Guest","Khách thanh toán"
"Checkout as a Guest or Register","Khách thanh toán hoặc Đăng ký"
"City","Quận/Huyện"
"Clear Persistence on Log Out","Xóa Duy trì khi đăng xuất"
"Close","Đóng"
"Company","Công ty"
"Confirm Password","Xác nhận mật khẩu"
"Continue","Tiếp tục"
"Country","Quốc gia"
"Create an Account","Tạo tài khoản"
"Easy access to your order history and status","Dễ dàng truy cập tình trạng và lịch sử đơn hàng"
"Email Address","Địa chỉ Email"
"Enable ""Remember Me""","Kích hoạt ""Ghi nhớ tôi"""
"Enable Persistence","Kích hoạt duy trì"
"Fast and easy check out","Thanh toán nhanh chóng và dễ dàng"
"Faster checkout","Thanh toán nhanh hơn"
"Fax","Fax"
"Forgot Your Password?","Quên mật khẩu?"
"Forgot your password?","Quên mật khẩu?"
"General Options","Tùy chọn chung"
"If you have an account with us, please log in.","Nếu bạn có tài khoản, Vui lòng đăng nhập."
"Loading next step...","Đang tải bước tiếp theo..."
"Login","Đăng nhập"
"Login Information","Thông tin đăng nhập"
"Login or Create an Account","Đăng nhập hoặc tạo tài khoản"
"New Customers","Khách hàng mới"
"New Here?","Tạo mới ở đây?"
"Password","Mật khẩu"
"Persist Shopping Cart","Duy trì giỏ hàng"
"Persistence Lifetime (seconds)","Thời gian duy trì (giây)"
"Persistent Shopping Cart","Duy trì giỏ hàng"
"Personal Information","Thông tin cá nhân"
"Please enter the following information to create your account.","Vui lòng nhập vào thông tin dưới đây để tạo tài khoản."
"Please log in below:","Vui lòng đăng nhập bên dưới:"
"Please select region, state or province","Vui lòng lựa chọn vùng hoặc tỉnh/thành"
"Register","Đăng ký"
"Register and Checkout","Đăng ký và thanh toán"
"Register and save time!","Đăng ký và tiết kiệm thời gian!"
"Register to Create an Account","Đăng ký để tạo tài khoản"
"Register with us for future convenience:","Đăng ký với chúng tôi để nhận được nhiều lợi ích trong tương lai:"
"Registered Customers","Khách hàng đã đăng ký"
"Registration is free and easy!","Đăng ký miễn phí và dễ dàng!"
"Remember Me","Ghi nhớ tôi"
"Returning Customers","Khách hàng quay trở lại"
"Save in address book","Lưu vào danh bạ địa chỉ"
"Save multiple shipping addresses","Lưu nhiều địa chỉ vận chuyển"
"Select State/Province...","Lựa chọn Tỉnh/Thành..."
"Select a billing address from your address book or enter a new address.","Lựa chọn một địa chỉ thanh toán từ danh bạ địa chỉ hoặc nhập vào địa chỉ mới."
"Ship to different address","Giao hàng tới nhiều địa chỉ khác nhau"
"Ship to this address","Giao hàng tới những địa chỉ này"
"Shopping cart has been updated with appropriate prices","Giỏ hàng đã được cập nhật với giá phù hợp"
"Sign Up for Newsletter","Đăng ký nhận bản tin"
"Sign in to speed up your checkout process","Đăng ký để tăng tốc độ quá trình thanh toán của bạn"
"State/Province","Tỉnh/Thành"
"Street Address","Đường"
"Street Address %s","Đường %s"
"Submit","Gửi"
"Telephone","Điện thoại"
"To proceed to Checkout, please log in using your email address.","Để tiến hành thanh toán, vui lòng đăng nhập với địa chỉ email của bạn."
"VAT Number","Số VAT"
"View and track orders and more","Xem avf theo dõi đơn hàng và hơn thế nữa"
"Welcome, %s!","Xin chào, %s!"
"What's this?","Đây là gì?"
"What\'s this?","Đây là gì"
"Zip/Postal Code","Mã bưu chính/bưu điện"
