"%s Item(s)","%s Sản phẩm"
"%s-%s of %s","%s-%s của %s"
"&copy; 2015 Magento Demo Store. All Rights Reserved.","&copy; 2015 Magento Demo Store. Tất cả quyền được bảo hộ."
"(Shift-)Click or drag to change value","(Shift-)Nhấp chuột hoặc kéo để thay đổi giá trị"
"(ver. %s)","(Phiên bản. %s)"
"- Click on any of the time parts to increase it","- Nhấn vào bất kỳ phần thời gian nào để tăng"
"- Hold mouse button on any of the above buttons for faster selection.","- Giữ chuột trên bất kỳ nút nào để lựa chọn nhanh hơn."
"- Use the %s buttons to select month","- Sử dụng nút %s để chọn tháng"
"- Use the %s, %s buttons to select year","- Sử dụng nút %s, %s để chọn năm"
"- or Shift-click to decrease it","- hoặc nhấn Shift-nhấp chuột để giảm"
"- or click and drag for faster selection.","- hoặc nhấn chuột và kéo để lựa chọn nhanh hơn."
"-- Please Select --","-- Vui lòng lựa chọn --"
"1 column","1 cột"
"2 columns with left bar","2 cột với thanh bên trái"
"2 columns with right bar","2 cột với thanh bên phải"
"3 columns","3 cột"
"About the calendar","Về lịch"
"Account","Tài khoản"
"All Empty Layout Pages","Tất cả trang bố cục trống"
"All One-Column Layout Pages","Tất cả trang bố cục toàn trang"
"All Pages","Tất cả trang"
"All Pages (Print Version)","Tất cả trang (Để in)"
"All Three-Column Layout Pages","Tất cả trang bố cục 3 cột"
"All Two-Column Layout Pages (Left Column)","Tất cả trang bố cục 2-cột (Cột bên trái)"
"All Two-Column Layout Pages (Right Column)","Tất cả trang bố cục 2-cột (Cột bên phải)"
"Allow","Cho phép"
"Breadcrumbs","Breadcrumbs"
"Click <a href=""%s"">here</a> if nothing has happened","Nhấn <a href=""%s"">vào đây</a> nếu không có gì thay đổi"
"Close","Đóng"
"Close Window","Đóng cửa sổ"
"DHTML Date/Time Selector","Chọn DHTML Ngày/Giờ "
"Date selection:","Lựa chọn ngày:"
"Default Description","Mô tả mặc định"
"Default welcome msg!","Tin nhắn chào mừng mặc định!"
"Display %s first","Hiển thị %s đầu tiên"
"Distributed under GNU LGPL. See %s for details.","Phân phối theo GNU LGPL. Xem %s để biết thêm chi tiết."
"Drag to move","Kéo để di chuyển"
"Empty","Trống"
"For latest version visit: %s","Phiên bản ghé thăm gần nhất: %s"
"Free Shipping on orders over 50$","Giao hàng miễn phí cho đơn hàng trên 50$"
"Go Today","Đến Hôm nay"
"Help Us to Keep Magento Healthy","Hãy giúp chúng tôi giữ Magento lành mạnh"
"Interface Language","Ngôn ngữ giao tiếp"
"Items %s to %s of %s total","Sản phẩm %s từ %s đến %s trong tổng số"
"JavaScript seems to be disabled in your browser.","JavaScript dường như bị vô hiệu hóa trong trình duyệt."
"Left Column","Cột bên trái"
"Left Column First (shows above main column on smaller screens)","Cột đầu tiên bên trái (hiển trị trên cột chính trong màn hình nhỏ hơn)"
"Main Content Area","Vùng nội dung chính"
"Menu","Menu"
"Navigation Bar","Thanh điều hướng"
"Next","Tiếp theo"
"Next month (hold for menu)","Tháng tới (giữ cho menu)"
"Next year (hold for menu)","Năm tới (giữ cho menu)"
"Page Bottom","Cuối trang"
"Page Footer","Cuối trang"
"Page Header","Đầu trang"
"Page Top","Đầu trang"
"Page:","Trang:"
"Prev. month (hold for menu)","Tháng trước (giữ cho menu)"
"Prev. year (hold for menu)","Năm trước (giữ cho menu)"
"Previous","Trước đó"
"Redirecting...","Đang chuyển hướng..."
"Report All Bugs","Báo cáo tất cả các lỗi"
"Results per page","Kết quả trên một trang"
"Right Column","Cột bên phải"
"Search","Tìm kiếm"
"Select Store","Chọn cửa hàng"
"Select Store:","Chọn cửa hàng:"
"Select date","Chọn ngày"
"Show","Hiển thị"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Đây là trang demo. Bất cứ đơn đặt hàng nào thông qua trang này sẽ không hoàn thành."
"Time selection:","Chọn thời gian:"
"Time:","Giờ:"
"View All ","Hiển thị tất cả "
"Welcome, %s!","Xin chào, %s!"
"You must have JavaScript enabled in your browser to utilize the functionality of this website.","Bạn phải bật Javascript trong trình duyệt của bạn để sử dụng các chức năng của trang web này."
"Your Language","Ngôn ngữ của bạn"
"Your Language:","Ngôn ngữ của bạn:"
"per page","trên mỗi trang"
