"%s file does not exists or is not readable","%s tệp không tồn tại hoặc không đọc được"
"-- Please Select --","-- Vui lòng chọn --"
"Adapter must be an instance of Mage_ImportExport_Model_Import_Adapter_Abstract","Bộ chuyển đổi phải là một thể hiện của Mage_ImportExport_Model_Import_Adapter_Abstract"
"Adapter object must be an instance of %s","Đối tượng chuyển đổi phải là một thể hiện của %s"
"Adapter type must be a non empty string","Loại chuyển đổi phải không chứa chuỗi kí tự trống"
"Append Complex Data","Thêm toàn bộ dữ liệu"
"Attribute Code","Mã thuộc tính"
"Attribute Label","Nhãn thuộc tính"
"Attribute does not has options, so filtering is impossible","Thuộc tính không có tùy chọn, nên không thể lọc"
"Begin data validation","Bắt đầu xác thực dữ liệu"
"Begin export of %s","Bắt đầu xuất %s"
"Begin import of ""%s"" with ""%s"" behavior","Bắt đầu nhập ""%s"" với hành động ""%s"" "
"CSV","CSV"
"Can not determine attribute filter type","Không thể xác định loại bộ lọc thuộc tính"
"Can not find required columns: %s","Không thể tìm thấy cột yêu cầu: %s"
"Cannot get autoincrement value","Không thể lấy giá trị tự động tăng"
"Check Data","Kiểm tra dữ liệu"
"Checked rows: %d, checked entities: %d, invalid rows: %d, total errors: %d","Hàng đã kiểm tra: %d, Thực thể đã kiểm tra: %d, hàng không hợp lệ: %d, tổng số lỗi: %d"
"Column names have duplicates","Tên cột có bản sao"
"Column names is empty or is not an array","Tên cột trống hoặc không phải là một mảng"
"Column names: ""%s"" are invalid","Tên cột: ""%s"" không hợp lệ"
"Customers","Khách hàng"
"Data is invalid or file is not uploaded","Dữ liệu không hợp lệ hoặc tệp chưa được tải lên"
"Delete Entities","Xóa thực thể"
"Destination directory is not writable","Thư mục đích không thể ghi"
"Destination file is not writable","Tệp đến không thể ghi"
"Destination file path must be a string","Đường dẫn tệp đến phải là một chuỗi ký tự"
"Done import data validation","Xác thực nhập vào dữ liệu hoàn thành"
"Duplicate Unique Attribute for '%s'","Thuộc tính bản sao duy nhất cho '%s'"
"Entity Type","Loại thực thể"
"Entity adapter obejct must be an instance of Mage_ImportExport_Model_Export_Entity_Abstract","Đối tượng chuyển đổi thực thể phải là một thể hiện của Mage_ImportExport_Model_Export_Entity_Abstract"
"Entity adapter object must be an instance of Mage_ImportExport_Model_Import_Entity_Abstract","Đối tượng chuyển đổi thực thể phải là một thể hiện của Mage_ImportExport_Model_Import_Entity_Abstract"
"Entity is unknown","Không rõ thực thể"
"Entity type model must be an instance of Mage_ImportExport_Model_Export_Entity_Product_Type_Abstract","Mẫu loại thực thể phải là một thể hiện của Mage_ImportExport_Model_Export_Entity_Product_Type_Abstract"
"Entity type model must be an instance of Mage_ImportExport_Model_Import_Entity_Product_Type_Abstract","Mẫu loại thực thể phải là một thể hiện của Mage_ImportExport_Model_Import_Entity_Product_Type_Abstract"
"Error in data structure: behaviors are mixed","Lỗi trong cấu trúc dữ liệu: hành động này đã bị lẫn lộn"
"Error in data structure: entity codes are mixed","Lỗi trong cấu trúc dữ liệu: mã thực thể đã bị lẫn lộn"
"Errors limit (%d) reached. Please fix errors and re-upload file","Lỗi giới hạn (%d). Vui lòng sửa lỗi và tải lại tệp"
"Export","Truy xuất"
"Export File Format","Định dạng tệp xuất ra"
"Export Settings","Cài đặt xuất dữ liệu"
"Export has been done.","Truy xuất đã được thực hiện."
"Exported %s rows.","Đã truy xuất %s hàng."
"File does not contain data.","Tệp không chứa dữ liệu."
"File does not contain data. Please upload another one","Tệp không chứa dữ liệu. Vui lòng tải tệp khác"
"File format is unknown","Định dạng tệp không xác định được"
"File is partially valid, but import is not possible","Tệp hợp lệ một phần, không thể nhập vào"
"File is totally invalid. Please fix errors and re-upload file","Tệp không hợp lệ hoàn toàn. Vui lòng sửa lỗi và tải lại tệp"
"File is valid! To start import process press ""Import"" button","Tệp hợp lệ! Để bắt đầu quá trình nhấn vào nút "Nhập vào" "
"File is valid, but import is not possible","Tệp hợp lệ nhưng không thể nhập vào"
"File was not uploaded","Tệp không được tải lên"
"Filter","Bộ lọc"
"From","Từ"
"Header column names already set","Tiêu đề cột đã được thiết lập"
"Import","Nhập vào"
"Import Behavior","Thao tác"
"Import Settings","Cài đặt nhập vào"
"Import has been done successfuly.","Nhập vào thành công."
"Import successfully done.","Nhập vào thành công."
"Import/Export","Nhập vào/Truy xuất"
"Input entity code is not equal to entity adapter code","Mã thực thể đầu vào không tương thích với mã chuyển đổi thực thể"
"Invalid entity","Thực thể không hợp lệ"
"Invalid entity model","Mẫu thực thể không hợp lệ"
"Invalid file format","Định dạng tệp không hợp lệ"
"Invalid parameters","Thông số không hợp lệ"
