"-- Please select --","-- Vui lòn lựa chọn --"
"Allowed Currencies","Ngoại tệ cho phép"
"Base Currency","Ngoại tệ cơ sở"
"Base currency is used for all online payment transactions. Scope is defined by the catalog price scope (""Catalog"" > ""Price"" > ""Catalog Price Scope"").","Ngoại tệ cơ sở được sử dụng cho tất cả thanh toán online. Phạm vi được xác định bởi phạm vi giá trong danh mục hàng (""Danh mục hàng"" > ""Giá"" > ""Phạm vi giá trong danh mục"")."
"Can\'t convert rate from ""%s-%s"".","Không thể chuyển đổi tỷ lệ từ ""%s-%s""."
"Cannot retrieve rate from %s.","Không thể lấy tỷ lệ từ %s."
"Connection Timeout in Seconds","Thời gian kết nối tính bằng giây"
"Continue &raquo;","Tiếp tục &raquo;"
"Country","Quốc gia"
"Country API","API quốc gia"
"Country and Format Type combination should be unique","Kết hợp quốc gia và loại định dạng phải là duy nhất"
"Currency","Ngoại tệ"
"Currency Options","Tùy chọn ngoại tệ"
"Currency Setup","Thiết lập ngoại tệ"
"Currency Update Warnings","Cảnh báo cập nhật ngoại tệ"
"Default Display Currency","Hiển thị ngoại tệ mặc định"
"Directory","Thư mục"
"Display not required State","Hiển thị Tỉnh/thành không bắt buộc"
"Enabled","Đã kích hoạt"
"Error Email Recipient","Email người nhận lỗi"
"Error Email Sender","Email người gửi lỗi"
"Error Email Template","Mẫu Email lỗi"
"FATAL ERROR:","LỖI NGHIÊM TRỌNG:"
"Frequency","Tần số"
"Installed Currencies","Tiền tệ đã cài đặt"
"Invalid Import Service specified.","Nhập vào không đúng."
"Invalid country code: %s","Mã quốc gia không đúng: %s"
"Invalid rates received","Tỷ lệ nhận được không đúng"
"Invalid target currency.","Ngoại tệ mục tiêu không đúng."
"List of countries","Danh sách quốc gia"
"List of regions in specified country","Danh sách vùng của một quốc gia cụ thể"
"Postal Code is Optional for the following countries","Mã bưu điện là tùy chọn cho các quốc gia dưới đây"
"Region","Vùng"
"Region API","API vùng"
"Scheduled Import Settings","Việc nhập vào cài đặt đã được lên lịch"
"Select Your Currency","Lựa chọn ngoại tệ của bạn"
"Service","Dịch vụ"
"Start Time","Thời gian bắt đầu"
"State is required for","Tỉnh/Thành bắt buộc"
"State/Province","Tỉnh/Thành"
"States Options","Tùy chọn Tỉnh/Thành"
"Unable to initialize the import model.","Không thể khởi tạo mô hình nhập vào."
"Undefined rate from ""%s-%s"".","Không xác định được tỷ lệ từ ""%s-%s""."
"WARNING:","CẢNH BÁO:"
"Webservicex","Dịch vụ web"
"Your Currency","Ngoại tệ của bạn"
"Your Currency:","Ngoại tệ của bạn:"
"Your current currency is: %s","Ngoại tệ của bạn là: %s"
