" Copy"," Sao chép"
"Action","Hoạt động"
"Add New Template","Thêm Mẫu mới"
"Add to Queue","Thêm vào hàng đợi"
"Allow Guest Subscription","Cho phép khách đăng ký theo dõi"
"An error occurred while saving your subscription.","Đã xảy ra lỗi khi lưu đăng ký theo dõi của bạn."
"Are you sure that you want to delete this template?","Bạn có chắc chắn rằng bạn muốn xóa mẫu này?"
"Are you sure that you want to strip all tags?","Bạn có chắc chắn rằng bạn muốn gỡ bỏ tất cả các thẻ?"
"Back","Quay lại"
"Cancel","Hủy"
"Cancelled","Đã hủy"
"Cannot mark as received subscriber.","Không thể đánh dấu như đăng ký đã nhận được."
"Confirmation Email Sender","Người gửi email xác nhận"
"Confirmation Email Template","Mẫu email xác nhận"
"Confirmation request has been sent.","Yêu cầu xác nhận đã được gửi."
"Convert to Plain Text","Chuyển sang dạng thuần văn bản"
"Create Newsletter Template","Tạo mẫu tin"
"Customer","Khách hàng"
"Customer First Name","Tên khách hàng"
"Customer Last Name","Họ khách hàng"
"Customer Middle Name","Tên đệm khách hàng"
"Customer My Account Newsletter Subscriptions","Đăng kí nhận bản tin từ khách hàng có tài khoản của tôi"
"Date Added","Đã thêm ngày"
"Date Updated","Đã cập nhật ngày"
"Delete","Xóa"
"Delete Selected Problems","Xóa các vấn đề đã chọn"
"Delete Template","Xóa mẫu"
"Do you really want to cancel the queue?","Bạn có thực sự muốn hủy hàng đợi?"
"Duplicate template code.","Tạo bản sao mã giao diện."
"Edit Newsletter","Sửa bản tin"
"Edit Newsletter Template","Sửa mẫu tin"
"Edit Queue","Sửa hàng đợi"
"Edit Template","Sửa mẫu"
"Email","Email"
"Enter your email address","Nhập địa chỉ email của bạn"
"Error Code","Mã lỗi"
"Error Text","Văn bản lỗi"
"Follow this link to unsubscribe <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>","Nhấn vào liên kết này để hủy đăng ký <!-- Hủy bỏ đăng ký  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>"
"Guest","Khách"
"ID","ID"
"Invalid queue selected.","Hàng đợi được chọn không đúng."
"Invalid subscription ID.","ID đăng ký không đúng."
"Invalid subscription confirmation code.","Mã thông tin đăng ký không đúng."
"Message","Tin nhắn"
"Need to Confirm","Cần phải xác nhận"
"New Newsletter Template","Mẫu bản tin mới"
"New Template","Mẫu mới"
"Newsletter","Bản tin"
"Newsletter Message Preview","Xem trước tin nhắn"
"Newsletter Problem Reports","Báo cáo bản tin có vấn đề"
"Newsletter Queue","Danh sách bản tin"
"Newsletter Section","Mục bản tin"
"Newsletter Sign-up:","Đăng ký bản tin:"
"Newsletter Styles","Kiểu bản tin"
"Newsletter Subscribers","Newsletter Subscribers"
"Newsletter Subscription","Đăng ký nhận bản tin"
"Newsletter Subscription Form Before","Mẫu đăng ký nhận bản tin trước"
"Newsletter Subscriptions","Đăng ký nhận bản tin"
"Newsletter Templates","Mẫu bản tin"
"Newsletter subscription confirmation","Xác nhận đăng ký nhận bản tin"
"Newsletter subscription success","Đăng ký nhận bản tin thành công"
"Newsletter unsubscription success","Hủy đăng ký nhận bản tin thành công"
"No Templates Found","Không tìm thấy mẫu"
"No problems found.","Không tìm thấy vấn đề."
"No subscribers selected.","Không có người đăng ký nào được chọn."
"Not Activated","Chưa được kích hoạt"
"Not Sent","Chưa được gửi"
"Pause","Tạm dừng"
"Paused","Đã tạm dừng"
"Please enter a valid email address.","Mời bạn nhập địa chỉ email."
"Please enter new template name","Vui lòng nhập tên mẫu mới"
"Please refer to exeption.log","Vui lòng tham khảo exeption.log"
"Please select subscriber(s)","Vui lòng chọn (những) người đăng ký"
"Preview","Xem trước"
"Preview Template","Xem trước mẫu"
"Processed","Đã xử lý"
"Queue Date Start","Ngày bắt đầu chờ xử lý"
"Queue Finish","Kết thúc chờ xử lý"
"Queue Information","Thông tin chờ xử lý"
"Queue Newsletter...","Bản tin đang chờ xử lý..."
"Queue Start","Bắt đầu chờ xử lý"
"Queue Subject","Chủ đề"
