"%d Shopping Cart Price Rules based on ""%s"" attribute have been disabled.","%d Quy tắc giá giỏ hàng dựa trên ""%s"" thuộc tính đã bị vô hiệu."
"%s Coupon(s) generated successfully","Phiếu giảm giá %s đã tạo thành công"
"Actions","Thao tác"
"Active","Thao tác"
"Add New Rule","Thêm quy tắc mới"
"Alphabetical","Theo thứ tự ABC"
"Alphanumeric","Chữ và số"
"An error occurred while generating coupons. Please review the log and try again.","Xảy ra lỗi khi tạo phiếu giảm giá. Vui lòng xem lại bản ghi và thử lại."
"Apply","Áp dụng"
"Apply To","Áp dụng cho"
"Apply the rule only if the following conditions are met (leave blank for all products)","Áp dụng quy tắc nếu các điều kiện sau đây đúng (để trống cho tất cả sản phẩm)"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","Áp dụng quy tắc cho các mặt hàng trong giỏ phù hợp với điều kiện sau đây (để trống cho tất cả sản phẩm)"
"Apply the rule to cart items matching the following conditions","Áp dụng quy định vào giỏ hàng cho các mặt hàng phù hợp với các điều kiện"
"Apply to Shipping Amount","Áp dụng cho số lượng vận chuyển"
"Are you sure you want to delete the selected coupon(s)?,""Bạn có chắc muốn xóa phiểu giảm giá đã chọn?"
"Auto","Tự động"
"Auto Generated Specific Coupon Codes","Tự động kích hoạt mã khuyến mãi cụ thể"
"Buy X get Y free (discount amount is Y)","Mua X thì Y được miễn phí (số lượng giảm giá là Y)"
"By Fixed value","Bằng giá trị cố định"
"By Percentage","Bởi tỷ lệ"
"Can\'t acquire coupon.","Có thể\Không thể có được phiếu giảm giá."
"Cart Attribute","Thuộc tính giỏ hàng"
"Catalog","Loại mặt hàng"
"Code Format","Định dạng mã"
"Code Length","Chiều dài mã"
"Code Prefix","Tiền tố mã"
"Code Suffix","Hậu tố mã"
"Conditions","Điều kiện"
"Conditions combination","Điều kiện kết hợp"
"Coupon","Khuyến mãi"
"Coupon Code","Mã khuyến mãi"
"Coupon Qty","Số lượng khuyến mãi"
"Coupon with the same code","Phiếu giảm giá cùng mã"
"Coupons Information","Thông tin khuyến mãi"
"Created On","Ngày tạo"
"Customer Groups","Nhóm khách hàng"
"Dash Every X Characters","Dấu gạch ngang mỗi ký tự X"
"Date Expire","Ngày hết hạn"
"Date Start","Ngày bắt đầu"
"Default Label","Nhãn mặc định"
"Default Rule Label for All Store Views","Xem quy định nhãn mặc định cho tất cả cửa hàng"
"Description","Mô tả"
"Discount Amount","Sô tiền giảm"
"Discount Qty Step (Buy X)","Số lượng giảm ở bước (mua X)"
"Edit Rule","Sửa quy tắc"
"Edit Rule '%s'","Sửa quy tắc '%s'"
"Excluding prefix, suffix and separators.","Trừ tiền tố, hậu tố và dấu cách."
"FOUND","TÌM THẤY"
"Fixed amount discount","Số lượng giảm giá cố định"
"Fixed amount discount for whole cart","Số lượng giảm giá cố định cho giỏ hàng"
"For matching items only","Chỉ mục phù hợp"
"For shipment with matching items","Đối với lô hàng với các mặt hàng phù hợp"
"Free Shipping","Miễn phí vận chuyển"
"From Date","Từ ngày"
"General Information","Thông tin chung"
"Generate","Tạo"
"ID","ID"
"If %s %s %s for a subselection of items in cart matching %s of these conditions:","Nếu %s %s %s cho một lựa chọn các mặt hàng trong giỏ hàng phù hợp %s trong các điều kiện:"
"If an item is %s in the cart with %s of these conditions true:","Nếu mục là %s trong giỏ hàng với %s trong các điều kiện đúng:"
"If empty no separation.","Không ngăn cách nếu để trống."
"If you select and save the rule you will be able to generate multiple coupon codes","Nếu bạn chọn và lưu các quy định bạn sẽ có thể tạo ra nhiều mã khuyến mãi"
"Inactive","Không hoạt động"
"Item totals are not set for rule.","Tổng mục không được thiết đặt cho quy định."
"Labels","Nhãn"
"Manage Coupons Codes","Quản lý mã phiếu giảm giá"
"Maximum Qty Discount is Applied To","Số lượng giảm giá tối đa được áp dụng với"
"NOT FOUND","KHÔNG TÌM THẤY"
"NOT LOGGED IN","CHƯA ĐĂNG NHẬP"
"New Rule","Quy định mới"
"No","Không"
"No Coupon","Không giảm giá"
"Not valid data provided","Dữ liệu cung cấp không đúng"
"Number of Uses","Số lượng sử dụng"
"Numeric","Dạng số"
"Payment Method","Phương pháp thanh toán"
"Percent of product price discount","Phần trăm giảm giá của sản phẩm"
"Period","Giai đoạn"
"Price in cart","Giá trong giỏ hàng"
"Priority","Ưu tiên"
"Product attribute combination","Kết hợp thuộc tính sản phẩm"
"Products subselection","Lựa chọn phụ cho sản phẩm"
"Promotions","Khuyến mãi"
"Public In RSS Feed","Công bố trong nguồn cấp RSS"
"Quantity in cart","Số lượng trong giỏ"
"Row total in cart","Tổng dòng trong giỏ"
"Rule Information,""Thông tin quy định"
"Rule Name","Quy định tên"
"Rule is not defined","Quy định không được định nghĩa"
"Sales Discount Amount","Số tiền giảm giá"
"Sales Subtotal Amount","Số tiền tổng phụ"
"Sales Total Amount","Tổng số tiền"
"Save and Continue Edit","Lưu và tiếp tục sửa"
"Shipping Country","Quốc gia giao hàng"
"Shipping Method","Phương pháp giao hàng"
"Shipping Postcode","Mã bưu chính giao hàng"
"Shipping Region","Khu vực giao hàng"
"Shipping State/Province","Vùng/Tỉnh giao hàng"
"Shopping Cart Price Rule","Quy tắc giá theo giỏ hàng"
