"Add","Thêm"
"Add New Row","Thêm hàng mới"
"Add links and samples to downloadable product","Thêm liên kết và mẫu cho sản phẩm có thể tải được"
"Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with \'_\'.","Ký tự chữ và số, dấu gạch ngang và dấu gạch dưới được đề xuất cho tên tệp. Ký tự không đúng được thay bằng \'_\'."
"An error occurred while getting the requested content.","Có lỗi xảy ra khi lấy nội dung yêu cầu."
"An error occurred while getting the requested content. Please contact the store owner.","Có lỗi xảy ra khi lấy nội dung yêu cầu. Vui lòng liên hệ chủ cửa hàng."
"An error occurred while saving the file(s).","Có lỗi xảy ra khi lưu tệp (s)."
"Availability:","Tình trạng:"
"Back","Quay lại"
"Canceled","Đã hủy"
"Cannot connect to remote host, error: %s.","Không thể kết nối với máy chủ, lỗi: %s."
"Catalog Product View (Downloadable)","Xem sản phẩm trong danh mục hàng (tải về)"
"Category API","API loại mặt hàng"
"Customer My Account Downloadable Items","Khách hàng Tài khoản của tôi Đối tượng tải về"
"Date","Ngày tháng"
"Default Link Title","Tiêu đề liên kết mặc định"
"Default Maximum Number of Downloads","Số lượng tối đa tải xuống mặc định"
"Default Sample Title","Tiêu đề mẫu mặc định"
"Delete","Xóa"
"Disable Guest Checkout if Cart Contains Downloadable Items","Vô hiệu hóa khách thanh toán nếu Giỏ hàng chứa sản phẩm tải về"
"Downloadable Information","Thông tin tải xuống"
"Downloadable Product","Sản phẩm tải về"
"Downloadable Product Options","Tùy chọn sản phẩm tải về"
"Downloadable Product Section","Mục sản phẩm tải về"
"Edit","Sửa"
"Edit item parameters","Sửa mặt hàng"
"Excl. Tax","Không bao gồm thuế"
"File","Tệp"
"From:","Từ:"
"Gift Message","Thông điệp quà tặng"
"Go to <a href=""%s"">My Downloadable Products</a>","Đi tới <a href=""%s"">Sản phẩm tải về của tôi</a>"
"Guest checkout will only work with shareable.","Khách thanh toán chỉ được thực hiện với chia sẻ được."
"In stock","Còn hàng"
"Incl. Tax","Bao gồm thuế"
"Invalid download URL host.","URL máy chủ tải xuống không đúng."
"Invalid download URL scheme.","URL tải xuống không đúng."
"Invalid download link type.","Loại liên kết tải xuống không đúng."
"Invoiced","Hóa đơn"
"Links can be purchased separately","Liên kết có thể được mua riêng lẻ"
"List","Danh sách"
"Max. Downloads","Tải về tối đa"
"Message:","Lời nhắn:"
"Move","Di chuyển"
"Move to wishlist","Di chuyển tới danh sách thích"
"My Downloadable Products","Sản phẩm tải về của tôi"
"Open Links in New Window","Mở liên kết trong cửa sổ mới"
"Order #","Đơn hàng #"
"Order Item Status to Enable Downloads","Trạng thái sản phẩm đặt hàng Có thể tải về"
"Order id cannot be null","Mã đơn hàng không được để trống"
"Order item id cannot be null","Mã sản phẩm đặt hàng không được để trống"
"Ordered","Đã đặt hàng"
"Out of stock","Hết hàng"
"Pending","Chờ xử lý"
"Please log in to download your product or purchase <a href=""%s"">%s</a>.","Vui lòng đăng nhập để tải sản phẩm hoặc mua hàng <a href=""%s"">%s</a>."
"Please log in to download your product.","Bui lòng đăng nhập để tải sản phẩm."
"Please set resource file and link type.","Vui lòng thiết lập kiểu tệp nguồn và liên kết."
"Please specify product link(s).","Vui lòng xác định (các) liên kết sản phẩm."
"Price","Giá"
"Product downloadable links","Liên kết tải sản phẩm"
"Qty","Số lượng"
"Refunded","Hoàn trả"
"Remaining Downloads","Vẫn duy trì tải xuống"
"Remove","Xóa"
"Remove Item","Xóa sản phẩm"
"Remove links and samples from downloadable product","Xóa liên kết và mẫu khỏi sản phẩm tải về"
"Requested link does not exist.","Liên kết yêu cầu không tồn tại."
"Retrieve links and samples list from downloadable product","Lấy danh sách liên kết và mẫu từ sản phẩm tải về"
"SKU","SKU"
"Sample","Mẫu"
"See price before order confirmation.","Xem giá trước khi xác nhận đơn hàng."
"Shareable","Có thể chia sẻ"
"Shipped","Đã vận chuyển"
"Sorry, there was an error getting requested content. Please contact the store owner.","Xin lỗi, đã có lỗi xảy ra khi lấy nội dung yêu cầu. Vui lòng liên hệ chủ cửa hàng."
"Sort Order","Sắp xếp đơn hàng"
"Start Download","Bắt đầu tải về"
"Status","Trạng thái"
"Subtotal","Tổng số tiền"
"The file does not exist.","Tệp không tồn tại."
"The link has expired.","Liên kết đã quá hạn."
"The link is not available.","Liên kết không có sẵn."
"There are files that were selected but not uploaded yet. Please upload or remove them first","Một số tệp được chọn nhưng chưa được tải lên. Vui lòng tải lên hoặc xóa chúng"
"Title","Tiêu đề"
"To:","Tới:"
"U","U"
"Unlimited","Không giới hạn"
"Update","Cập nhật"
"Use Content-Disposition","Sử dụng bố trí nội dung"
"Use Default Value","Sử dụng giá trị mặc định"
"View Order","Xem đơn hàng"
"What's this?","Đây là gì?"
"You have not purchased any downloadable products yet.","Bạn chưa mua sản phẩm tải về nào."
"attachment","đính kèm"
"download","tải về"
"inline","nội tuyến"
"sample","mẫu"
