"1.5.0.0 & later","1.5.0.0 & sau đó"
"Action","Thao tác"
"Add Author","Thêm tác giả"
"Add Contents Path","Thêm đường dẫn nội dung"
"Add PHP Extension dependency","Thêm tiện ích phụ thuộc PHP"
"Add Package dependency","Thêm gói phụ thuộc"
"Add files","Thêm tệp"
"Authors","Tác giả"
"Channel","Kênh"
"Contents","Nội dung"
"Create Extension Package","Tạo gói tiện ích"
"Dependencies","Các phụ thuộc"
"Description","Mô tả"
"Edit Extension","Sửa tiện ích"
"Email","Email"
"Extension","Tiện ích"
"Extensions","Các tiện ích"
"Failed to create the package.","Không thể tạo gói."
"Failed to load the package data.","Không thể tải dữ liệu gói."
"Failed to save the package.","Không thể lưu dữ liệu gói."
"Files","Tệp"
"Folder","Thư mục"
"Ignore",Bỏ qua"
"Include","Bao gồm"
"License","Giấy phép"
"License URI","Giấy phép URI"
"Load Local Package","Tải gói nội bộ"
"Load local Package","Tải gói nội bộ"
"Magento Connect","Kết nối Magento"
"Magento Connect Manager","Quản lý kết nối Magento"
"Max","Tối đa"
"Maximum","Tối đa"
"Min","Tối thiểu"
"Minimum","Tối thiểu"
"Name","Tên"
"New Extension","Tiện ích mới"
"PHP Version","Phiên bản PHP"
"Package","Gói"
"Package Extensions","Tiện ích gói"
"Package File Name","Tên tệp của gói"
"Package Info","Thông tin gói"
"Packages","Các gói"
"Path","Đường dẫn"
"Pre-1.5.0.0","Trước-1.5.0.0"
"Release Info","Thông tin phát hành"
"Remove","Xóa"
"Save As...","Lưu dưới dạng..."
"Save Data and Create Package","Lưu dữ liệu và tạo gói"
"Save package with custom package file name","Lưu dữ liệu với tên tệp của gói tùy chỉnh"
"Summary","Tóm tắt"
"Supported releases","Hỗ trợ phát hành"
"System","Hệ thống"
"Target","Mục tiêu"
"The package %s data has been loaded.","Dữ liệu gói %s data đã được tải."
"The package data has been saved.","Dữ liệu gói đã được lưu."
"There was a problem saving package data","Có vấn đề khi lưu dữ liệu gói"
"Type","Loại"
"User","Người dùng"
