"Show / Hide Editor","Ẩn / Hiện bảng chỉnh sửa"
"Insert Widget...","Chèn Widget..."
"Insert Image...","Chèn Ảnh..."
"A block identifier with the same properties already exists in the selected store.","Một khối với tính chất tương tự đã tồn tại trong trang hiển thị đã chọn."
"A directory with the same name already exists. Please try another folder name.","Một thư mục cùng tên đã tồn tại. Vui lòng thử một tên khác."
"A page URL key for specified store already exists.","Một trang URL Key cho trang hiển thị xác định đã tồn tại."
"Action","Thao tác"
"Add New Block","Thêm khối nội dung mới"
"Add New Page","Thêm trang mới"
"All Countries","Tất cả quốc gia"
"An error occurred while saving the page.","Có lỗi xảy ra khi lưu trang."
"Anchor Custom Text","Văn bản tùy chỉnh thả neo"
"Anchor Custom Title","Tiêu đề tùy chỉnh thả neo"
"Are you sure you want to delete current folder?","Bạn có chắc là muốn xóa thư mục hiện tại?"
"Are you sure you want to delete the selected file?","Bạn có chắc là muốn xóa tệp tin đã chọn?"
"Block","Khối nội dung"
"Block Information","Thông tin khối nội dung"
"Block Title","Tiêu đề khối"
"CMS","CMS"
"CMS Content Wrapper","Nội dung bao trùm CMS"
"CMS Home Page","Trang chủ CMS"
"CMS No Cookies Page","Trang CMS không có Cookies"
"CMS No Route Page","Trang CMS không định tuyến"
"CMS No-Route Page","Trang CMS không định tuyến"
"CMS Page","Trang CMS"
"CMS Page Link","Liên kết trang CMS"
"CMS Page Link Block Template","Mẫu khối liên kết trang CMS"
"CMS Page Link Inline Template","Mẫu liên kết trang nội tuyến CMS"
"CMS Pages (All)","(Tất cả) các trang CMS"
"CMS Static Block","Khối tĩnh CMS"
"CMS Static Block Default Template","Mẫu khối tĩnh CMS mặc định"
"Cannot create new directory.","Không thể tạo thư mục mới."
"Cannot delete directory %s.","Không thể xóa thư mục %s."
"Cannot delete root directory %s.","Không thể xóa thư mục gốc %s."
"Cannot upload file.","Không thể tải tệp lên."
"Collapse All","Thu gọn tất cả"
"Content","Nội dung"
"Content Heading","Tiêu đề nội dung"
"Content Management","Quản lý nội dung"
"Contents of a Static Block","Nội dung của một khối tĩnh"
"Create Folder...","Tạo thư mục..."
"Custom Design","Thiết kế tùy chỉnh"
"Custom Design From","Thiết kế tùy chỉnh từ"
"Custom Design To","Thiết kế tùy chỉnh đến"
"Custom Layout","Giao diện tùy chỉnh"
"Custom Layout Update XML","Cập nhật giao diện tùy chỉnh XML"
"Custom Theme","Theme tùy chỉnh"
"Customer Tax Class Information","Tùy chỉnh thông tin thuế"
"Date Created","Ngày khởi tạo"
"Delete Block","Xóa khối"
"Delete File","Xóa tệp"
"Delete Folder","Xóa thư mục"
"Delete Page","Xóa trang"
"Description","Mô tả"
"Design","Thiết kế"
"Disabled","Vô hiệu"
"Disabled Completely","Vô hiệu hoàn toàn"
"Disabled by Default","Vô hiệu mặc định"
"Edit Block","Sửa khối"
"Edit Block '%s'","Sửa khối '%s'"
"Edit Page","Sửa trang"
"Edit Page '%s'","Sửa trang '%s'"
"Enable WYSIWYG Editor","Cho phép sửa WYSIWYG"
"Enabled","Đã kích hoạt"
"Enabled by Default","Kích hoạt mặc định"
"Expand All","Mở rộng tất cả"
"General Information","Thông tin chung"
"Go to Home Page","Đi đến trang chủ"
"Home","Trang chủ"
"ID","ID"
"Identifier","Nhận dạng"
"If empty, the Page Title will be used","Nếu trống, tiêu đề trang sẽ được sử dụng"
"Images (%s)","Hình ảnh (%s)"
"Insert File","Chèn tệp"
"Invalid folder name. Please, use alphanumeric characters, underscores and dashes.","Tên thư mục không đúng. Vui lòng sử dụng ký tự chữ và số, dấu gạch dưới và dấu gạch ngang."
"Keywords","Từ khóa"
"Last Modified","Sửa đổi lần cuối"
"Layout","Giao diện"
"Layout Update XML","Cập nhật giao diện XML"
"Link to a CMS Page","Liên kết tới trang CMS"
"Manage Pages","Quản lý trang"
"Media Gallery","Thư viện đa phương tiện"
"Media Storage","Kho đa phương tiện"
"Meta Data","Dữ liệu Meta"
"Meta Description","Mô tả Meta"
"Meta Keywords","Từ khóa Meta"
"New Block","Khối mới"
